"db" "query" "genus" "order" "family" "class" "phylum" "Organism"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Pseudomonas sp. VLB120" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. VLB120"
"ncbi" "Herbaspirillum sp. TSA66" "Noviherbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. TSA66"
"ncbi" "Photobacterium damselae subsp. damselae CIP 102761" "Photobacterium" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Photobacterium damselae subsp. damselae CIP 102761"
"ncbi" "Photobacterium damselae subsp. damselae CIP 102761" "Photobacterium" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Photobacterium damselae subsp. damselae CIP 102761"
"ncbi" "Burkholderia sp. RPE67" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. RPE67"
"ncbi" "Burkholderia sp. RPE67" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. RPE67"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Burkholderia sp. MP-1" "Caballeronia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. MP-1"
"ncbi" "Burkholderia sp. MP-1" "Caballeronia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. MP-1"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Burkholderia sp. YI23" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. YI23"
"ncbi" "Burkholderia sp. YI23" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. YI23"
"ncbi" "Rhizobium sp. Root268" "Rhizobium" "Rhizobiales" "Rhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. Root268"
"ncbi" "Rhizobium sp. Root268" "Rhizobium" "Rhizobiales" "Rhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. Root268"
"ncbi" "Vibrio fluvialis" "Vibrio" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Vibrio fluvialis"
"ncbi" "Vibrio fluvialis" "Vibrio" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Vibrio fluvialis"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Bordetella ansorpii" "Bordetella" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Bordetella ansorpii"
"ncbi" "Bordetella ansorpii" "Bordetella" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Bordetella ansorpii"
"ncbi" "Cystobacter fuscus DSM 2262" "Cystobacter" "Myxococcales" "Archangiaceae" "Deltaproteobacteria" "Proteobacteria" "Cystobacter fuscus DSM 2262"
"ncbi" "Cystobacter fuscus DSM 2262" "Cystobacter" "Myxococcales" "Archangiaceae" "Deltaproteobacteria" "Proteobacteria" "Cystobacter fuscus DSM 2262"
"ncbi" "Sphingomonas sp. Leaf67" "Sphingomonas" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Leaf67"
"ncbi" "Sphingomonas sp. Leaf67" "Sphingomonas" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. Leaf67"
"ncbi" "Acinetobacter pittii" "Acinetobacter" "Pseudomonadales" "Moraxellaceae" "Gammaproteobacteria" "Proteobacteria" "Acinetobacter pittii"
"ncbi" "Massilia sp. NR 4-1" "Massilia" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Massilia sp. NR 4-1"
"ncbi" "Aeromonas caviae" "Aeromonas" "Aeromonadales" "Aeromonadaceae" "Gammaproteobacteria" "Proteobacteria" "Aeromonas caviae"
"ncbi" "Aeromonas caviae" "Aeromonas" "Aeromonadales" "Aeromonadaceae" "Gammaproteobacteria" "Proteobacteria" "Aeromonas caviae"
"ncbi" "Paracoccus sp. MKU1" "Paracoccus" "Rhodobacterales" "Rhodobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Paracoccus sp. MKU1"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Thauera linaloolentis 47Lol = DSM 12138" "Thauera" "Rhodocyclales" "Zoogloeaceae" "Betaproteobacteria" "Proteobacteria" "Thauera linaloolentis 47Lol = DSM 12138"
"ncbi" "Thauera linaloolentis 47Lol = DSM 12138" "Thauera" "Rhodocyclales" "Zoogloeaceae" "Betaproteobacteria" "Proteobacteria" "Thauera linaloolentis 47Lol = DSM 12138"
"ncbi" "Caulobacter crescentus OR37" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter crescentus OR37"
"ncbi" "Caulobacter crescentus OR37" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter crescentus OR37"
"ncbi" "Xenorhabdus poinarii G6" "Xenorhabdus" "Enterobacterales" "Morganellaceae" "Gammaproteobacteria" "Proteobacteria" "Xenorhabdus poinarii G6"
"ncbi" "Xenorhabdus poinarii G6" "Xenorhabdus" "Enterobacterales" "Morganellaceae" "Gammaproteobacteria" "Proteobacteria" "Xenorhabdus poinarii G6"
"ncbi" "Pseudomonas sp. GM18" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. GM18"
"ncbi" "Alcanivorax sp. P2S70" "Alcanivorax" "Oceanospirillales" "Alcanivoracaceae" "Gammaproteobacteria" "Proteobacteria" "Alcanivorax sp. P2S70"
"ncbi" "Alcanivorax sp. P2S70" "Alcanivorax" "Oceanospirillales" "Alcanivoracaceae" "Gammaproteobacteria" "Proteobacteria" "Alcanivorax sp. P2S70"
"ncbi" "Kerstersia gyiorum" "Kerstersia" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Kerstersia gyiorum"
"ncbi" "Kerstersia gyiorum" "Kerstersia" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Kerstersia gyiorum"
"ncbi" "Candidatus Paraburkholderia calva" "Paraburkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Candidatus Paraburkholderia calva"
"ncbi" "Candidatus Paraburkholderia calva" "Paraburkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Candidatus Paraburkholderia calva"
"ncbi" "Acinetobacter pittii" "Acinetobacter" "Pseudomonadales" "Moraxellaceae" "Gammaproteobacteria" "Proteobacteria" "Acinetobacter pittii"
"ncbi" "Acinetobacter pittii" "Acinetobacter" "Pseudomonadales" "Moraxellaceae" "Gammaproteobacteria" "Proteobacteria" "Acinetobacter pittii"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Photobacterium damselae" "Photobacterium" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Photobacterium damselae"
"ncbi" "Photobacterium damselae" "Photobacterium" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Photobacterium damselae"
"ncbi" "Bordetella flabilis" "Bordetella" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Bordetella flabilis"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. K31"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Methylocella silvestris BL2" "Methylocella" "Rhizobiales" "Beijerinckiaceae" "Alphaproteobacteria" "Proteobacteria" "Methylocella silvestris BL2"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Photobacterium damselae subsp. damselae" "Photobacterium" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Photobacterium damselae subsp. damselae"
"ncbi" "Photobacterium damselae subsp. damselae" "Photobacterium" "Vibrionales" "Vibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Photobacterium damselae subsp. damselae"
"ncbi" "Pseudomonas sp. 21" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. 21"
"ncbi" "Agrobacterium tumefaciens" "Agrobacterium" "Rhizobiales" "Rhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium tumefaciens"
"ncbi" "Agrobacterium tumefaciens" "Agrobacterium" "Rhizobiales" "Rhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium tumefaciens"
"ncbi" "Pseudomonas putida" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas putida"
"ncbi" "Pseudomonas putida" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas putida"
"ncbi" "Myxococcus xanthus DK 1622" "Myxococcus" "Myxococcales" "Myxococcaceae" "Deltaproteobacteria" "Proteobacteria" "Myxococcus xanthus DK 1622"
"ncbi" "Aeromonas molluscorum 848" "Aeromonas" "Aeromonadales" "Aeromonadaceae" "Gammaproteobacteria" "Proteobacteria" "Aeromonas molluscorum 848"
"ncbi" "Aeromonas molluscorum 848" "Aeromonas" "Aeromonadales" "Aeromonadaceae" "Gammaproteobacteria" "Proteobacteria" "Aeromonas molluscorum 848"
"ncbi" "Pseudomonas putida" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas putida"
"ncbi" "Pseudomonas putida" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas putida"
"ncbi" "Sphingopyxis fribergensis" "Sphingopyxis" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Sphingopyxis fribergensis"
"ncbi" "Sphingopyxis fribergensis" "Sphingopyxis" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Sphingopyxis fribergensis"
"ncbi" "Sphingobium sp. AM" "Sphingobium" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Sphingobium sp. AM"
"ncbi" "Sphingobium sp. AM" "Sphingobium" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Sphingobium sp. AM"
"ncbi" "Burkholderia megalochromosomata" "Caballeronia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia megalochromosomata"
"ncbi" "Burkholderia megalochromosomata" "Caballeronia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia megalochromosomata"
"ncbi" "Marinobacterium sp. AK27" "Marinobacterium" "Oceanospirillales" "Oceanospirillaceae" "Gammaproteobacteria" "Proteobacteria" "Marinobacterium sp. AK27"
"ncbi" "Devosia sp. LC5" "Devosia" "Rhizobiales" "Hyphomicrobiaceae" "Alphaproteobacteria" "Proteobacteria" "Devosia sp. LC5"
"ncbi" "Pseudomonas putida CSV86" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas putida CSV86"
"ncbi" "Myxococcus xanthus DK 1622" "Myxococcus" "Myxococcales" "Myxococcaceae" "Deltaproteobacteria" "Proteobacteria" "Myxococcus xanthus DK 1622"
"ncbi" "Myxococcus xanthus DK 1622" "Myxococcus" "Myxococcales" "Myxococcaceae" "Deltaproteobacteria" "Proteobacteria" "Myxococcus xanthus DK 1622"
"ncbi" "Burkholderia sp. CCGE1001" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. CCGE1001"
"ncbi" "Burkholderia sp. CCGE1001" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. CCGE1001"
"ncbi" "Herbaspirillum sp. TSA66" "Noviherbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. TSA66"
"ncbi" "Pseudomonas sp. AU12215" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. AU12215"
"ncbi" "Pseudomonas sp. CF161" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. CF161"
"ncbi" "Pseudomonas sp. CF161" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. CF161"
"ncbi" "Lysobacter sp. Root604" "Lysobacter" "Xanthomonadales" "Xanthomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Lysobacter sp. Root604"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Escherichia hermannii NBRC 105704" "Atlantibacter" "Enterobacterales" "Enterobacteriaceae" "Gammaproteobacteria" "Proteobacteria" "Escherichia hermannii NBRC 105704"
"ncbi" "Pseudomonas sp. L10.10" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. L10.10"
"ncbi" "Pseudomonas sp. L10.10" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. L10.10"
"ncbi" "Sphaerotilus natans subsp. natans DSM 6575" "Sphaerotilus" "Burkholderiales" NA "Betaproteobacteria" "Proteobacteria" "Sphaerotilus natans subsp. natans DSM 6575"
"ncbi" "Sphaerotilus natans subsp. natans DSM 6575" "Sphaerotilus" "Burkholderiales" NA "Betaproteobacteria" "Proteobacteria" "Sphaerotilus natans subsp. natans DSM 6575"
"ncbi" "Burkholderia catudaia" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia catudaia"
"ncbi" "Burkholderia catudaia" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Burkholderia catudaia"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Pseudomonas sp. GM18" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. GM18"
"ncbi" "Acidovorax sp. RAC01" "Acidovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Acidovorax sp. RAC01"
"ncbi" "Acidovorax sp. RAC01" "Acidovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Acidovorax sp. RAC01"
"ncbi" "Kerstersia gyiorum" "Kerstersia" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Kerstersia gyiorum"
"ncbi" "Kerstersia gyiorum" "Kerstersia" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Kerstersia gyiorum"
"ncbi" "Alcanivorax sp. HI0007" "Alcanivorax" "Oceanospirillales" "Alcanivoracaceae" "Gammaproteobacteria" "Proteobacteria" "Alcanivorax sp. HI0007"
"ncbi" "Massilia sp. Root418" "Massilia" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Massilia sp. Root418"
"ncbi" "Pseudomonas fluorescens HK44" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas fluorescens HK44"
"ncbi" "Pseudomonas fluorescens HK44" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas fluorescens HK44"
"ncbi" "Marinomonas aquimarina" "Marinomonas" "Oceanospirillales" "Oceanospirillaceae" "Gammaproteobacteria" "Proteobacteria" "Marinomonas aquimarina"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Pectobacterium carotovorum subsp. actinidiae" "Pectobacterium" "Enterobacterales" "Pectobacteriaceae" "Gammaproteobacteria" "Proteobacteria" "Pectobacterium carotovorum subsp. actinidiae"
"ncbi" "Pectobacterium carotovorum subsp. actinidiae" "Pectobacterium" "Enterobacterales" "Pectobacteriaceae" "Gammaproteobacteria" "Proteobacteria" "Pectobacterium carotovorum subsp. actinidiae"
"ncbi" "Phaeospirillum molischianum DSM 120" "Phaeospirillum" "Rhodospirillales" "Rhodospirillaceae" "Alphaproteobacteria" "Proteobacteria" "Phaeospirillum molischianum DSM 120"
"ncbi" "Phaeospirillum molischianum DSM 120" "Phaeospirillum" "Rhodospirillales" "Rhodospirillaceae" "Alphaproteobacteria" "Proteobacteria" "Phaeospirillum molischianum DSM 120"
"ncbi" "Serratia marcescens" "Serratia" "Enterobacterales" "Yersiniaceae" "Gammaproteobacteria" "Proteobacteria" "Serratia marcescens"
"ncbi" "Serratia marcescens" "Serratia" "Enterobacterales" "Yersiniaceae" "Gammaproteobacteria" "Proteobacteria" "Serratia marcescens"
"ncbi" "Alcanivorax hongdengensis A-11-3" "Alcanivorax" "Oceanospirillales" "Alcanivoracaceae" "Gammaproteobacteria" "Proteobacteria" "Alcanivorax hongdengensis A-11-3"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Myxococcus xanthus DK 1622" "Myxococcus" "Myxococcales" "Myxococcaceae" "Deltaproteobacteria" "Proteobacteria" "Myxococcus xanthus DK 1622"
"ncbi" "Cellvibrio japonicus Ueda107" "Cellvibrio" "Cellvibrionales" "Cellvibrionaceae" "Gammaproteobacteria" "Proteobacteria" "Cellvibrio japonicus Ueda107"
"ncbi" "Bordetella bronchiseptica" "Bordetella" "Burkholderiales" "Alcaligenaceae" "Betaproteobacteria" "Proteobacteria" "Bordetella bronchiseptica"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter vibrioides"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Desulfobulbus propionicus DSM 2032" "Desulfobulbus" "Desulfobacterales" "Desulfobulbaceae" "Deltaproteobacteria" "Proteobacteria" "Desulfobulbus propionicus DSM 2032"
"ncbi" "Desulfobulbus propionicus DSM 2032" "Desulfobulbus" "Desulfobacterales" "Desulfobulbaceae" "Deltaproteobacteria" "Proteobacteria" "Desulfobulbus propionicus DSM 2032"
"ncbi" "Candidatus Burkholderia brachyanthoides" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Candidatus Burkholderia brachyanthoides"
"ncbi" "Candidatus Burkholderia brachyanthoides" "Burkholderia" "Burkholderiales" "Burkholderiaceae" "Betaproteobacteria" "Proteobacteria" "Candidatus Burkholderia brachyanthoides"
"ncbi" "Pseudomonas brassicacearum" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas brassicacearum"
"ncbi" "Herbaspirillum sp. GW103" "Herbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. GW103"
"ncbi" "Herbaspirillum sp. GW103" "Herbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. GW103"
"ncbi" "Pseudomonas sp. GM74" "Pseudomonas" "Pseudomonadales" "Pseudomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas sp. GM74"
"ncbi" "Caulobacter sp. AP07" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. AP07"
"ncbi" "Caulobacter sp. AP07" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter sp. AP07"
"ncbi" "Denitrovibrio acetiphilus DSM 12809" "Denitrovibrio" "Deferribacterales" "Deferribacteraceae" "Deferribacteres" "Deferribacteres" "Denitrovibrio acetiphilus DSM 12809"
"ncbi" "Denitrovibrio acetiphilus DSM 12809" "Denitrovibrio" "Deferribacterales" "Deferribacteraceae" "Deferribacteres" "Deferribacteres" "Denitrovibrio acetiphilus DSM 12809"
"ncbi" "Hafnia alvei" "Hafnia" "Enterobacterales" "Hafniaceae" "Gammaproteobacteria" "Proteobacteria" "Hafnia alvei"
"ncbi" "Hafnia alvei" "Hafnia" "Enterobacterales" "Hafniaceae" "Gammaproteobacteria" "Proteobacteria" "Hafnia alvei"
"ncbi" "Novosphingobium barchaimii" "Novosphingobium" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Novosphingobium barchaimii"
"ncbi" "Novosphingobium barchaimii" "Novosphingobium" "Sphingomonadales" "Sphingomonadaceae" "Alphaproteobacteria" "Proteobacteria" "Novosphingobium barchaimii"
"ncbi" "Caulobacter crescentus OR37" "Caulobacter" "Caulobacterales" "Caulobacteraceae" "Alphaproteobacteria" "Proteobacteria" "Caulobacter crescentus OR37"
"ncbi" "Herbaspirillum sp. GW103" "Herbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. GW103"
"ncbi" "Collimonas arenae" "Collimonas" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Collimonas arenae"
"ncbi" "Collimonas arenae" "Collimonas" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Collimonas arenae"
"ncbi" "Stenotrophomonas ginsengisoli" "Stenotrophomonas" "Xanthomonadales" "Xanthomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Stenotrophomonas ginsengisoli"
"ncbi" "Stenotrophomonas ginsengisoli" "Stenotrophomonas" "Xanthomonadales" "Xanthomonadaceae" "Gammaproteobacteria" "Proteobacteria" "Stenotrophomonas ginsengisoli"
"ncbi" "Pseudogulbenkiania ferrooxidans 2002" "Pseudogulbenkiania" "Neisseriales" "Chromobacteriaceae" "Betaproteobacteria" "Proteobacteria" "Pseudogulbenkiania ferrooxidans 2002"
"ncbi" "Pseudogulbenkiania ferrooxidans 2002" "Pseudogulbenkiania" "Neisseriales" "Chromobacteriaceae" "Betaproteobacteria" "Proteobacteria" "Pseudogulbenkiania ferrooxidans 2002"
"ncbi" "Herbaspirillum sp. GW103" "Herbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. GW103"
"ncbi" "Herbaspirillum sp. GW103" "Herbaspirillum" "Burkholderiales" "Oxalobacteraceae" "Betaproteobacteria" "Proteobacteria" "Herbaspirillum sp. GW103"
"ncbi" "Acinetobacter pittii" "Acinetobacter" "Pseudomonadales" "Moraxellaceae" "Gammaproteobacteria" "Proteobacteria" "Acinetobacter pittii"
"ncbi" "Acinetobacter pittii" "Acinetobacter" "Pseudomonadales" "Moraxellaceae" "Gammaproteobacteria" "Proteobacteria" "Acinetobacter pittii"
"ncbi" "Agrobacterium tumefaciens" "Agrobacterium" "Rhizobiales" "Rhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium tumefaciens"
"ncbi" "Agrobacterium tumefaciens" "Agrobacterium" "Rhizobiales" "Rhizobiaceae" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium tumefaciens"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
"ncbi" "Variovorax paradoxus" "Variovorax" "Burkholderiales" "Comamonadaceae" "Betaproteobacteria" "Proteobacteria" "Variovorax paradoxus"
