"db" "query" "genus" "class" "phylum"
"ncbi" "Rhodocyclaceae bacterium PG1-Ca6" "Rugosibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Flavihumibacter petaseus NBRC 106054" "Flavihumibacter" "Chitinophagia" "Bacteroidetes"
"ncbi" "Candidatus Rokubacteria bacterium 13_1_20CM_4_68_9" NA NA "Candidatus Rokubacteria"
"ncbi" "Rhodanobacter spathiphylli B39" "Rhodanobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobacteriales bacterium 44-61" NA "Sphingobacteriia" "Bacteroidetes"
"ncbi" "Streptomyces phaeopurpureus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Streptomyces griseoruber" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Candidatus Rokubacteria bacterium 13_1_40CM_2_68_13" NA NA "Candidatus Rokubacteria"
"ncbi" "Streptomyces thermoautotrophicus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Chitinophaga sp. YR573" "Chitinophaga" "Chitinophagia" "Bacteroidetes"
"ncbi" "Rhodopseudomonas palustris HaA2" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium avium subsp. hominissuis A5" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Mesorhizobium sp. LC103" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Gemmatirosa kalamazoonesis" "Gemmatirosa" "Gemmatimonadetes" "Gemmatimonadetes"
"ncbi" "Mucilaginibacter gotjawali" "Mucilaginibacter" "Sphingobacteriia" "Bacteroidetes"
"ncbi" "Bradyrhizobium sp. LTSP849" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Rokubacteria bacterium GWA2_70_23" NA NA "Candidatus Rokubacteria"
"ncbi" "Oceanibaculum indicum P24" "Oceanibaculum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Actinobacteria bacterium 13_1_20CM_3_68_9" NA NA "Actinobacteria"
"ncbi" "Herbaspirillum sp. CF444" "Herbaspirillum" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. Ncost-T6T-1" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Streptomyces incarnatus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Pseudolabrys sp. Root1462" "Pseudolabrys" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Flavihumibacter solisilvae" "Flavihumibacter" "Chitinophagia" "Bacteroidetes"
"ncbi" "Mycobacterium sp. 1423905.2" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19" NA "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Actinobacteria bacterium RBG_16_70_17" NA NA "Actinobacteria"
"ncbi" "Streptomyces sp. NRRL F-5755" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Thiohalomonas denitrificans" "Thiohalomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Ignavibacteria bacterium GWF2_35_20" NA "Ignavibacteria" "Ignavibacteriae"
"ncbi" "Stackebrandtia nassauensis DSM 44728" "Stackebrandtia" "Actinobacteria" "Actinobacteria"
"ncbi" "Mycobacterium sp. NE-TNMC-100812" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Geobacter lovleyi SZ" "Geobacter" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Anaerolineae bacterium CG2_30_57_67" NA "Anaerolineae" "Chloroflexi"
"ncbi" "Clostridia bacterium 62_21" NA "Clostridia" "Firmicutes"
"ncbi" "Microvirga guangxiensis" "Microvirga" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopseudomonas palustris TIE-1" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Deltaproteobacteria bacterium RIFCSPLOWO2_02_56_12" NA "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces griseorubiginosus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Acidobacteriales bacterium 13_2_20CM_2_55_5" NA "Acidobacteriia" "Acidobacteria"
"ncbi" "Methylophilaceae bacterium 11" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopirellula sp. SWK7" "Rhodopirellula" "Planctomycetia" "Planctomycetes"
"ncbi" "Chloroflexus sp. isl-2" "Chloroflexus" "Chloroflexia" "Chloroflexi"
"ncbi" "Rhodomicrobium vannielii ATCC 17100" "Rhodomicrobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Deltaproteobacteria bacterium GWC2_65_14" NA "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces cellostaticus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Isosphaera pallida ATCC 43644" "Isosphaera" "Planctomycetia" "Planctomycetes"
"ncbi" "Gemmatimonadetes bacterium 13_1_40CM_70_15" NA NA "Gemmatimonadetes"
"ncbi" "Rhodopseudomonas palustris DX-1" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Intrasporangium chromatireducens Q5-1" "Intrasporangium" "Actinobacteria" "Actinobacteria"
"ncbi" "Bellilinea caldifistulae" "Bellilinea" "Anaerolineae" "Chloroflexi"
"ncbi" "Burkholderia ubonensis" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Tardiphaga sp. Vaf07" "Tardiphaga" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bosea sp. 67-29" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Patulibacter medicamentivorans" "Patulibacter" "Thermoleophilia" "Actinobacteria"
"ncbi" "Nitrospira bacterium SG8_3" NA "Nitrospira" "Nitrospirae"
"ncbi" "Nocardioides luteus" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Mycobacterium nebraskense" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Chloroflexi bacterium CSP1-4" NA NA "Chloroflexi"
"ncbi" "Paenibacillus thiaminolyticus" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Sinorhizobium sp. GL28" "Sinorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. Termitarium-T10T-6" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Halomonas anticariensis FP35 = DSM 16096" "Halomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Chloroflexi bacterium RBG_16_72_14" NA NA "Chloroflexi"
"ncbi" "Pseudomonas citronellolis" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Cytophagaceae bacterium SCN 52-12" NA "Cytophagia" "Bacteroidetes"
"ncbi" "Candidatus Rokubacteria bacterium CSP1-6" NA NA "Candidatus Rokubacteria"
"ncbi" "Actinobacteria bacterium RBG_16_64_13" NA NA "Actinobacteria"
"ncbi" "Candidatus Brocadia sinica JPN1" "Candidatus Brocadia" "Planctomycetia" "Planctomycetes"
"ncbi" "Candidatus Fischerbacteria bacterium RBG_13_37_8" NA NA "Candidatus Fischerbacteria"
"ncbi" "Thiobacillus sp. 65-69" "Thiobacillus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Pandoraea sp. SD6-2" "Pandoraea" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Chloroflexi bacterium RBG_16_68_14" NA NA "Chloroflexi"
"ncbi" "Acidocella aminolytica 101 = DSM 11237" "Acidocella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Planctomycetales bacterium 71-10" NA "Planctomycetia" "Planctomycetes"
"ncbi" "Nitrospirae bacterium GWD2_57_9" NA NA "Nitrospirae"
"ncbi" "candidate division Zixibacteria bacterium SM23_73_3" NA NA "candidate division Zixibacteria"
"ncbi" "candidate division TM6 bacterium GW2011_GWA2_36_9" NA NA "candidate division TM6"
"ncbi" "Frateuria sp. Soil773" "Frateuria" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhodospirillales bacterium RIFCSPLOWO2_12_FULL_58_28" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium 13_1_20CM_2_55_15" NA NA "Acidobacteria"
"ncbi" "Gemmatimonas aurantiaca T-27" "Gemmatimonas" "Gemmatimonadetes" "Gemmatimonadetes"
"ncbi" "Caulobacter sp. Root655" "Caulobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Nitrososphaera gargensis Ga9.2" "Nitrososphaera" "Nitrososphaeria" "Thaumarchaeota"
"ncbi" "Dehalococcoidia bacterium CG2_30_46_19" NA "Dehalococcoidia" "Chloroflexi"
"ncbi" "candidate division Zixibacteria bacterium RBG_16_53_22" NA NA "candidate division Zixibacteria"
"ncbi" "Candidatus Aminicenantes bacterium RBG_13_59_9" NA NA "Candidatus Aminicenantes"
"ncbi" "Nocardioides sp. JS614" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Dehalogenimonas sp. WBC-2" "Dehalogenimonas" "Dehalococcoidia" "Chloroflexi"
"ncbi" "Humibacillus sp. DSM 29435" "Humibacillus" "Actinobacteria" "Actinobacteria"
"ncbi" "Rhodoplanes sp. Z2-YC6860" "Rhodoplanes" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Methylophilus sp. TWE2" "Methylophilus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Methanoperedens sp. BLZ1" "Candidatus Methanoperedens" "Methanomicrobia" "Euryarchaeota"
"ncbi" "Nocardioides sp. Soil797" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Burkholderia vietnamiensis" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopirellula europaea 6C" "Rhodopirellula" "Planctomycetia" "Planctomycetes"
"ncbi" "Bradyrhizobium sp. LTSP885" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Dyella jiangningensis" "Dyella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Chromobacterium violaceum" "Chromobacterium" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Opitutaceae bacterium TSB47" NA "Opitutae" "Verrucomicrobia"
"ncbi" "Gammaproteobacteria bacterium RIFOXYD12_FULL_61_37" NA "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Ignavibacterium album JCM 16511" "Ignavibacterium" "Ignavibacteria" "Ignavibacteriae"
"ncbi" "Thiobacillus denitrificans ATCC 25259" "Thiobacillus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Intrasporangium calvum DSM 43043" "Intrasporangium" "Actinobacteria" "Actinobacteria"
"ncbi" "Sulfuricella denitrificans skB26" "Sulfuricella" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Armatimonadetes bacterium RBG_19FT_COMBO_69_19" NA NA "Armatimonadetes"
"ncbi" "Caldithrix sp. RBG_13_44_9" "Caldithrix" "Calditrichae" "Calditrichaeota"
"ncbi" "Azoarcus sp. KH32C" "Azoarcus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopirellula sp. K833" "Rhodopirellula" "Planctomycetia" "Planctomycetes"
"ncbi" "Sorangium cellulosum So0157-2" "Sorangium" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia multivorans CF2" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Aeromonas sobria" "Aeromonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Chlorobaculum limnaeum" "Chlorobaculum" "Chlorobia" "Chlorobi"
"ncbi" "Rhodopirellula baltica SH28" "Rhodopirellula" "Planctomycetia" "Planctomycetes"
"ncbi" "Chloroflexi bacterium 13_1_20CM_2_70_9" NA NA "Chloroflexi"
"ncbi" "Variovorax sp. WDL1" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "candidate division WOR-1 bacterium RIFOXYB2_FULL_48_7" NA NA "candidate division WOR-1"
"ncbi" "Arthrospira platensis C1" "Arthrospira" NA "Cyanobacteria"
"ncbi" "Chlorobi bacterium OLB5" NA NA "Chlorobi"
"ncbi" "Magnetospira sp. QH-2" "Magnetospira" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Legionella rubrilucens" "Legionella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Nocardia vulneris" "Nocardia" "Actinobacteria" "Actinobacteria"
"ncbi" "Candidatus Rokubacteria bacterium GWC2_70_16" NA NA "Candidatus Rokubacteria"
"ncbi" "Chelativorans sp. BNC1" "Chelativorans" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium lablabi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidobacteria bacterium 13_1_20CM_2_68_7" NA NA "Acidobacteria"
"ncbi" "Pseudomonas aeruginosa VRFPA04" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus sp. MUM 116" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Chloroflexi bacterium RBG_13_66_10" NA NA "Chloroflexi"
"ncbi" "Actinophytocola sp. 11-183" "Actinophytocola" "Actinobacteria" "Actinobacteria"
"ncbi" "Lactococcus lactis subsp. lactis" "Lactococcus" "Bacilli" "Firmicutes"
"ncbi" "Candidatus Fraserbacteria bacterium RBG_16_55_9" NA NA "Candidatus Fraserbacteria"
"ncbi" "Moorella mulderi DSM 14980" "Moorella" "Clostridia" "Firmicutes"
"ncbi" "Armatimonadetes bacterium RBG_16_67_12" NA NA "Armatimonadetes"
"ncbi" "Streptomyces sp. cf386" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Methanoculleus chikugoensis" "Methanoculleus" "Methanomicrobia" "Euryarchaeota"
"ncbi" "Candidatus Nitrosotalea devanaterra" "Candidatus Nitrosotalea" NA "Thaumarchaeota"
"ncbi" "Saccharopolyspora antimicrobica" "Saccharopolyspora" "Actinobacteria" "Actinobacteria"
"ncbi" "Lentisphaerae bacterium GWF2_45_14" NA NA "Lentisphaerae"
"ncbi" "Collimonas arenae" "Collimonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Cystobacter fuscus DSM 2262" "Cystobacter" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. Ncost-T6T-2b" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Frankia sp. EAN1pec" "Frankia" "Actinobacteria" "Actinobacteria"
"ncbi" "Thermoanaerobaculum aquaticum" "Thermoanaerobaculum" NA "Acidobacteria"
"ncbi" "Candidatus Schekmanbacteria bacterium RBG_16_38_10" NA NA "Candidatus Schekmanbacteria"
"ncbi" "Nocardioides dokdonensis FR1436" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Hadesarchaea archaeon YNP_N21" NA "Hadesarchaea" "Euryarchaeota"
"ncbi" "Singulisphaera acidiphila DSM 18658" "Singulisphaera" "Planctomycetia" "Planctomycetes"
"ncbi" "Candidatus Tectomicrobia bacterium RIFCSPLOWO2_12_FULL_69_37" NA NA "Candidatus Tectomicrobia"
"ncbi" "Agrobacterium sp. RAC06" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Armatimonadetes bacterium CG2_30_66_41" NA NA "Armatimonadetes"
"ncbi" "Salmonella enterica subsp. enterica serovar Typhi" "Salmonella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Bacteroidetes bacterium RIFOXYA12_FULL_33_9" NA NA "Bacteroidetes"
"ncbi" "Sinorhizobium saheli" "Sinorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Hyphomicrobium sp. MC1" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Nitrospirae bacterium RBG_19FT_COMBO_58_9" NA NA "Nitrospirae"
"ncbi" "Streptomyces sp. HGB0020" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Candidatus Methylomirabilis oxyfera" "Candidatus Methylomirabilis" NA "candidate division NC10"
"ncbi" "Bacillus mycoides" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Gallionella capsiferriformans ES-2" "Gallionella" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Atribacteria bacterium RBG_19FT_COMBO_35_14" NA NA "Candidatus Atribacteria"
"ncbi" "Amycolatopsis methanolica 239" "Amycolatopsis" "Actinobacteria" "Actinobacteria"
"ncbi" "Streptomyces antibioticus" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "miscellaneous Crenarchaeota group-1 archaeon SG8-32-1" NA NA "Candidatus Bathyarchaeota"
"ncbi" "Syntrophus sp. RIFOXYC2_FULL_54_9" "Syntrophus" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Thiotrichales bacterium SG8_50" NA "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Chloroflexi bacterium RBG_16_70_13" NA NA "Chloroflexi"
"ncbi" "Methylosinus sp. 3S-1" "Methylosinus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Emmonsia parva UAMH 139" "Emmonsia" "Eurotiomycetes" "Ascomycota"
"ncbi" "Omnitrophica WOR_2 bacterium RBG_13_44_8b" NA NA "Candidatus Omnitrophica"
"ncbi" "Methylobacterium mesophilicum SR1.6/6" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rubrivivax sp. SCN 71-131" "Rubrivivax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces regalis" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Streptomyces sp. NRRL B-1568" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Streptomyces sp. FXJ1.172" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Mycobacterium rufum" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Magnetospirillum magneticum AMB-1" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Methanobacterium curvum" "Methanobacterium" "Methanobacteria" "Euryarchaeota"
"ncbi" "Rhodopirellula baltica SWK14" "Rhodopirellula" "Planctomycetia" "Planctomycetes"
"ncbi" "Rhizobacter sp. Root404" "Rhizobacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Actinosynnema sp. ALI-1.44" "Actinosynnema" "Actinobacteria" "Actinobacteria"
"ncbi" "Paenibacillus peoriae" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Magnetospirillum marisnigri" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium shimoidei" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Caloranaerobacter sp. TR13" "Caloranaerobacter" "Clostridia" "Firmicutes"
"ncbi" "Burkholderia ambifaria MEX-5" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Nitrospirae bacterium CG2_30_41_42" NA NA "Nitrospirae"
"ncbi" "Ignavibacteria bacterium RIFOXYA2_FULL_35_10" NA "Ignavibacteria" "Ignavibacteriae"
"ncbi" "Herbaspirillum sp. TSA66" "Noviherbaspirillum" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Shapirobacteria bacterium GW2011_GWE1_38_10" NA NA "Candidatus Shapirobacteria"
"ncbi" "Dyella japonica DSM 16301" "Dyella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Ignavibacteria bacterium RBG_16_34_14" NA "Ignavibacteria" "Ignavibacteriae"
"ncbi" "Chloroflexus sp. Y-400-fl" "Chloroflexus" "Chloroflexia" "Chloroflexi"
"ncbi" "Bacillus selenitireducens MLS10" NA "Bacilli" "Firmicutes"
"ncbi" "Opitutus terrae PB90-1" "Opitutus" "Opitutae" "Verrucomicrobia"
"ncbi" "Ignavibacteria bacterium RIFCSPLOWO2_12_FULL_56_21" NA "Ignavibacteria" "Ignavibacteriae"
"ncbi" "Burkholderia sp. GAS332" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonadales bacterium BRH_c42" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Paraburkholderia aspalathi" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Agrobacterium albertimagni AOL15" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Geobacillus sp. 8" "Geobacillus" "Bacilli" "Firmicutes"
"ncbi" "Afipia sp. P52-10" "Afipia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. MUSC 14" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Bradyrhizobium sp." "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Dyella japonica A8" "Dyella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidomyces richmondensis" "Acidomyces" "Dothideomycetes" "Ascomycota"
"ncbi" "Pseudonocardia dioxanivorans CB1190" "Pseudonocardia" "Actinobacteria" "Actinobacteria"
"ncbi" "Nocardioides sp. Soil777" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Chloroflexus aggregans DSM 9485" "Chloroflexus" "Chloroflexia" "Chloroflexi"
"ncbi" "Thioalkalivibrio sulfidophilus HL-EbGr7" "Thioalkalivibrio" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Coraliomargarita akajimensis DSM 45221" "Coraliomargarita" "Opitutae" "Verrucomicrobia"
"ncbi" "Chitinophaga costaii" "Chitinophaga" "Chitinophagia" "Bacteroidetes"
"ncbi" "Streptomyces sp. G25(2015)" NA NA "Actinobacteria"
"ncbi" "Streptomyces lincolnensis" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Pelotomaculum thermopropionicum SI" "Pelotomaculum" "Clostridia" "Firmicutes"
"ncbi" "Bradyrhizobium erythrophlei" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Desulfurivibrio alkaliphilus AHT2" "Desulfurivibrio" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Chloroflexi bacterium RBG_16_51_16" NA NA "Chloroflexi"
"ncbi" "Oscillochloris trichoides DG6" "Oscillochloris" "Chloroflexia" "Chloroflexi"
"ncbi" "Actinobacteria bacterium RBG_16_68_21" NA NA "Actinobacteria"
"ncbi" "Sulfuritalea hydrogenivorans sk43H" "Sulfuritalea" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopirellula sallentina SM41" "Rhodopirellula" "Planctomycetia" "Planctomycetes"
"ncbi" "Crenarchaeota archaeon 13_1_20CM_2_51_8" NA NA "Crenarchaeota"
"ncbi" "Desulfonauticus sp. 38_4375" "Desulfonauticus" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Rhodopseudomonas sp. AAP120" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Thermoplasmatales archaeon DG-70-1" NA "Theionarchaea" "Euryarchaeota"
"ncbi" "Vulgatibacter incomptus" "Vulgatibacter" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Mucilaginibacter sp. PPCGB 2223" "Mucilaginibacter" "Sphingobacteriia" "Bacteroidetes"
"ncbi" "Bacillus vireti LMG 21834" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Bradyrhizobium neotropicale" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Diplodia seriata" "Diplodia" "Dothideomycetes" "Ascomycota"
"ncbi" "Paenibacillus sp. A3" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Collimonas pratensis" "Collimonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Granulicella mallensis MP5ACTX8" "Granulicella" "Acidobacteriia" "Acidobacteria"
"ncbi" "Bradyrhizobium sp. AT1" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Marmoricola sp. Leaf446" "Marmoricola" "Actinobacteria" "Actinobacteria"
"ncbi" "Leptolyngbya sp. NIES-3755" "Leptolyngbya" NA "Cyanobacteria"
"ncbi" "Paenibacillus elgii" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Catenulispora acidiphila DSM 44928" "Catenulispora" "Actinobacteria" "Actinobacteria"
"ncbi" "Massilia sp. BSC265" "Massilia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Gallionella sp. ShG14-8" "Gallionella" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium xenopi RIVM700367" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Desulfuromonas acetoxidans DSM 684" "Desulfuromonas" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. Leaf321" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Nitrobacter sp. Nb-311A" "Nitrobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Fluoribacter gormanii" "Fluoribacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Accumulibacter sp. SK-12" "Candidatus Accumulibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Kyrpidia tusciae DSM 2912" "Kyrpidia" "Bacilli" "Firmicutes"
"ncbi" "Paraburkholderia phenazinium" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Archangium gephyra" "Archangium" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Legionella parisiensis" "Legionella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Dechloromonas aromatica RCB" "Dechloromonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium yuanmingense" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium lentiflavum" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Legionella jordanis" "Legionella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Paenibacillus sp. MSt1" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Amycolatopsis xylanica" "Amycolatopsis" "Actinobacteria" "Actinobacteria"
"ncbi" "Hyphomicrobium facile" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Aminobacter aminovorans" "Aminobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "alpha proteobacterium AAP38" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Lysobacter capsici AZ78" "Lysobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobacter sp. Root29" "Rhizobacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Amycolatopsis decaplanina DSM 44594" "Amycolatopsis" "Actinobacteria" "Actinobacteria"
"ncbi" "Bacillus sp. FJAT-4402" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "candidate division NC10 bacterium RIFCSPLOWO2_12_FULL_66_18" NA NA "candidate division NC10"
"ncbi" "Ensifer glycinis" "Ensifer" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium kyorinense" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Desulfitobacterium hafniense" "Desulfitobacterium" "Clostridia" "Firmicutes"
"ncbi" "Paraburkholderia glathei" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhodanobacter sp. SCN 66-43" "Rhodanobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacterium sp. GXS13" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacterium sp. Leaf456" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Elusimicrobia bacterium RIFCSPLOWO2_12_FULL_59_9" NA NA "Elusimicrobia"
