LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
S71932.1.gene1.p01, Serratia_marcescens (S71932.1.gene1.p01)
gi|1401340|gb|AAB03413.1|, Aeromonas_hydrophila (gi|1401340|gb|AAB03413.1|)
gi|90901931|gb|ABE01852.1|, Aeromonas_sp._M.I6.35 (gi|90901931|gb|ABE01852.1|)
gi|115028|sp|P26918.1|BLAB_AERHY, Precursor (gi|115028|sp|P26918.1|BLAB_AERHY)
gi|33150464|gb|AAP97130.1|, Aeromonas_salmonicida (gi|33150464|gb|AAP97130.1|)
gi|58177261|pdb|1X8G|A, Hydrophyla (gi|58177261|pdb|1X8G|A)
gi|33150470|gb|AAP97133.1|, Aeromonas_hydrophila_subsp._hydrophila (gi|33150470|gb|AAP97133.1|)
gi|28798046|emb|CAD69003.1|, Aeromonas_hydrophila (gi|28798046|emb|CAD69003.1|)
gi|33150466|gb|AAP97131.1|, Aeromonas_veronii (gi|33150466|gb|AAP97131.1|)
gi|90901929|gb|ABE01851.1|, Aeromonas_sp._G.I10.28 (gi|90901929|gb|ABE01851.1|)
gi|37359434|gb|AAP69913.1|, Aeromonas_salmonicida (gi|37359434|gb|AAP69913.1|)
gi|34498605|ref|NP_902820.1|, Chromobacterium_violaceum_ATCC_12472 (gi|34498605|ref|NP_902820.1|)
gi|194293601|gb|ACF39939.1|, Aeromonas_hydrophila (gi|194293601|gb|ACF39939.1|)
gi|194293607|gb|ACF39942.1|, Aeromonas_hydrophila (gi|194293607|gb|ACF39942.1|)
gi|194293599|gb|ACF39938.1|, Aeromonas_hydrophila (gi|194293599|gb|ACF39938.1|)
gi|194293609|gb|ACF39943.1|, Aeromonas_jandaei (gi|194293609|gb|ACF39943.1|)
gi|339961324|pdb|3Q6V|A, Complex (gi|339961324|pdb|3Q6V|A)
gi|134133875|gb|ABO60995.1|, Stenotrophomonas_maltophilia (gi|134133875|gb|ABO60995.1|)
gi|9587048|gb|AAF89150.1|AF189294_1, Elizabethkingia_meningoseptica (gi|9587048|gb|AAF89150.1|AF189294_1)
gi|28373447|pdb|1JT1|A, Captopril (gi|28373447|pdb|1JT1|A)
gi|13274146|emb|CAC33832.1|, Janthinobacterium_lividum (gi|13274146|emb|CAC33832.1|)
gi|197296838|gb|ACH58998.1|, uncultured_bacterium_BLR7 (gi|197296838|gb|ACH58998.1|)
gi|392311688|pdb|4AWY|B, Gln157 (gi|392311688|pdb|4AWY|B)
gi|11125376|emb|CAC15063.1|, Stenotrophomonas_maltophilia (gi|11125376|emb|CAC15063.1|)
gi|159000113|gb|ABW87257.1|, Stenotrophomonas_maltophilia (gi|159000113|gb|ABW87257.1|)
gi|126149273|dbj|BAF47409.1|, Stenotrophomonas_maltophilia (gi|126149273|dbj|BAF47409.1|)
gi|491555994|ref|WP_005413585.1|, Stenotrophomonas_maltophilia (gi|491555994|ref|WP_005413585.1|)
gi|6580699|emb|CAB63488.1|, Stenotrophomonas_maltophilia (gi|6580699|emb|CAB63488.1|)
gi|134133863|gb|ABO60989.1|, Stenotrophomonas_maltophilia (gi|134133863|gb|ABO60989.1|)
gi|190574592|ref|YP_001972437.1|, Stenotrophomonas_maltophilia_K279a (gi|190574592|ref|YP_001972437.1|)
gi|126149263|dbj|BAF47404.1|, Stenotrophomonas_maltophilia (gi|126149263|dbj|BAF47404.1|)
gi|134133857|gb|ABO60986.1|, Stenotrophomonas_maltophilia (gi|134133857|gb|ABO60986.1|)
gi|134133861|gb|ABO60988.1|, Stenotrophomonas_maltophilia (gi|134133861|gb|ABO60988.1|)
gi|83284971|gb|ABC02083.1|, Stenotrophomonas_maltophilia (gi|83284971|gb|ABC02083.1|)
gi|194365923|ref|YP_002028533.1|, Stenotrophomonas_maltophilia_R551-3 (gi|194365923|ref|YP_002028533.1|)
gi|134133881|gb|ABO60998.1|, Stenotrophomonas_maltophilia (gi|134133881|gb|ABO60998.1|)
gi|134133869|gb|ABO60992.1|, Stenotrophomonas_maltophilia (gi|134133869|gb|ABO60992.1|)
gi|134133859|gb|ABO60987.1|, Stenotrophomonas_maltophilia (gi|134133859|gb|ABO60987.1|)
gi|134133853|gb|ABO60984.1|, Stenotrophomonas_maltophilia (gi|134133853|gb|ABO60984.1|)
gi|134133871|gb|ABO60993.1|, Stenotrophomonas_maltophilia (gi|134133871|gb|ABO60993.1|)
gi|134133855|gb|ABO60985.1|, Stenotrophomonas_maltophilia (gi|134133855|gb|ABO60985.1|)
gi|6580701|emb|CAB63489.1|, Stenotrophomonas_maltophilia (gi|6580701|emb|CAB63489.1|)
gi|158430236|pdb|2QJS|A, Mutant (gi|158430236|pdb|2QJS|A)
gi|134133873|gb|ABO60994.1|, Stenotrophomonas_maltophilia (gi|134133873|gb|ABO60994.1|)
gi|134133883|gb|ABO60999.1|, Stenotrophomonas_maltophilia (gi|134133883|gb|ABO60999.1|)
gi|134133885|gb|ABO61000.1|, Stenotrophomonas_maltophilia (gi|134133885|gb|ABO61000.1|)
gi|157835938|pdb|2QIN|A, Mutant (gi|157835938|pdb|2QIN|A)
gi|134133891|gb|ABO61003.1|, Stenotrophomonas_maltophilia (gi|134133891|gb|ABO61003.1|)
gi|134133867|gb|ABO60991.1|, Stenotrophomonas_maltophilia (gi|134133867|gb|ABO60991.1|)
gi|126149265|dbj|BAF47405.1|, Stenotrophomonas_maltophilia (gi|126149265|dbj|BAF47405.1|)
gi|126149267|dbj|BAF47406.1|, Stenotrophomonas_maltophilia (gi|126149267|dbj|BAF47406.1|)
gi|495543207|ref|WP_008267786.1|, Stenotrophomonas_sp._SKA14 (gi|495543207|ref|WP_008267786.1|)
gi|6977948|emb|CAB75346.1|, Stenotrophomonas_maltophilia (gi|6977948|emb|CAB75346.1|)
gi|126149271|dbj|BAF47408.1|, Stenotrophomonas_maltophilia (gi|126149271|dbj|BAF47408.1|)
gi|323530450|gb|ADX95742.1|, Stenotrophomonas_maltophilia (gi|323530450|gb|ADX95742.1|)
gi|74474854|dbj|BAE44415.1|, Stenotrophomonas_maltophilia (gi|74474854|dbj|BAE44415.1|)
gi|74474852|dbj|BAE44414.1|, Stenotrophomonas_maltophilia (gi|74474852|dbj|BAE44414.1|)
gi|74474850|dbj|BAE44413.1|, Stenotrophomonas_maltophilia (gi|74474850|dbj|BAE44413.1|)
gi|74474862|dbj|BAE44419.1|, Stenotrophomonas_maltophilia (gi|74474862|dbj|BAE44419.1|)
gi|8546987|emb|CAB94704.1|, Stenotrophomonas_maltophilia (gi|8546987|emb|CAB94704.1|)
gi|256557003|gb|ABY56045.1|, Pseudomonas_otitidis (gi|256557003|gb|ABY56045.1|)
gi|288964875|gb|ADC79555.1|, Pseudomonas_otitidis (gi|288964875|gb|ADC79555.1|)
gi|288964896|gb|ADC79567.1|, Pseudomonas_otitidis (gi|288964896|gb|ADC79567.1|)
gi|288964890|gb|ADC79563.1|, Pseudomonas_otitidis (gi|288964890|gb|ADC79563.1|)
gi|288964885|gb|ADC79560.1|, Pseudomonas_otitidis (gi|288964885|gb|ADC79560.1|)
gi|288964873|gb|ADC79554.1|, Pseudomonas_otitidis (gi|288964873|gb|ADC79554.1|)
gi|288964893|gb|ADC79565.1|, Pseudomonas_otitidis (gi|288964893|gb|ADC79565.1|)
gi|8546983|emb|CAB94702.1|, Stenotrophomonas_maltophilia (gi|8546983|emb|CAB94702.1|)
gi|8546981|emb|CAB94701.1|, Stenotrophomonas_maltophilia (gi|8546981|emb|CAB94701.1|)
gi|8546985|emb|CAB94703.1|, Stenotrophomonas_maltophilia (gi|8546985|emb|CAB94703.1|)
gi|288964879|gb|ADC79557.1|, Pseudomonas_otitidis (gi|288964879|gb|ADC79557.1|)
gi|288964883|gb|ADC79559.1|, Pseudomonas_otitidis (gi|288964883|gb|ADC79559.1|)
gi|494256358|ref|WP_007150152.1|, Alcanivorax_sp._DG881 (gi|494256358|ref|WP_007150152.1|)
gi|8546979|emb|CAB94700.1|, Stenotrophomonas_maltophilia (gi|8546979|emb|CAB94700.1|)
gi|288964881|gb|ADC79558.1|, Pseudomonas_otitidis (gi|288964881|gb|ADC79558.1|)
gi|302139993|gb|ADC79561.1|, Pseudomonas_otitidis (gi|302139993|gb|ADC79561.1|)
gi|293337231|ref|NP_001170718.1|, Zea_mays (gi|293337231|ref|NP_001170718.1|)
gi|182412933|ref|YP_001817999.1|, Opitutus_terrae_PB90-1 (gi|182412933|ref|YP_001817999.1|)
gi|493886160|ref|WP_006832294.1|, Erythrobacter_sp._SD-21 (gi|493886160|ref|WP_006832294.1|)
gi|160867075|gb|ABX23698.1|, Salmonella_enterica_subsp._arizonae_serovar_62:z4,z23:- (gi|160867075|gb|ABX23698.1|)
gi|197106434|ref|YP_002131811.1|, Phenylobacterium_zucineum_HLK1 (gi|197106434|ref|YP_002131811.1|)
gi|447005702|ref|WP_001082958.1|, Salmonella_enterica (gi|447005702|ref|WP_001082958.1|)
gi|409247423|ref|YP_006888122.1|, Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str._2007-60-3289-1 (gi|409247423|ref|YP_006888122.1|)
gi|194444541|ref|YP_002042986.1|, Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254 (gi|194444541|ref|YP_002042986.1|)
gi|197249629|ref|YP_002148668.1|, Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483 (gi|197249629|ref|YP_002148668.1|)
gi|194736864|ref|YP_002116679.1|, Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633 (gi|194736864|ref|YP_002116679.1|)
gi|56415627|ref|YP_152702.1|, Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150 (gi|56415627|ref|YP_152702.1|)
gi|447005715|ref|WP_001082971.1|, Salmonella_enterica (gi|447005715|ref|WP_001082971.1|)
gi|447005722|ref|WP_001082978.1|, Salmonella_enterica (gi|447005722|ref|WP_001082978.1|)
gi|447005712|ref|WP_001082968.1|, Salmonella_enterica (gi|447005712|ref|WP_001082968.1|)
gi|198243289|ref|YP_002217697.1|, Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853 (gi|198243289|ref|YP_002217697.1|)
gi|486158492|ref|WP_001522169.1|, Salmonella_enterica (gi|486158492|ref|WP_001522169.1|)
gi|148253969|ref|YP_001238554.1|, Bradyrhizobium_sp._BTAi1 (gi|148253969|ref|YP_001238554.1|)
gi|447005724|ref|WP_001082980.1|, Salmonella_enterica (gi|447005724|ref|WP_001082980.1|)
gi|497925817|ref|WP_010239973.1|, Citromicrobium_bathyomarinum (gi|497925817|ref|WP_010239973.1|)
gi|161616818|ref|YP_001590783.1|, Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7 (gi|161616818|ref|YP_001590783.1|)
gi|157371496|ref|YP_001479485.1|, Serratia_proteamaculans_568 (gi|157371496|ref|YP_001479485.1|)
gi|16767022|ref|NP_462637.1|, Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2 (gi|16767022|ref|NP_462637.1|)
gi|486164659|ref|WP_001528135.1|, Salmonella_enterica (gi|486164659|ref|WP_001528135.1|)
gi|207858974|ref|YP_002245625.1|, Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._P125109 (gi|207858974|ref|YP_002245625.1|)
gi|447005711|ref|WP_001082967.1|, Salmonella_enterica (gi|447005711|ref|WP_001082967.1|)
gi|205354661|ref|YP_002228462.1|, Salmonella_enterica_subsp._enterica_serovar_Gallinarum_str._287/91 (gi|205354661|ref|YP_002228462.1|)
gi|62182230|ref|YP_218647.1|, Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str._SC-B67 (gi|62182230|ref|YP_218647.1|)
gi|447005709|ref|WP_001082965.1|, Salmonella_enterica (gi|447005709|ref|WP_001082965.1|)
gi|29144061|ref|NP_807403.1|, Salmonella_enterica_subsp._enterica_serovar_Typhi_str._Ty2 (gi|29144061|ref|NP_807403.1|)
gi|16762572|ref|NP_458189.1|, Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18 (gi|16762572|ref|NP_458189.1|)
gi|156934539|ref|YP_001438455.1|, Cronobacter_sakazakii_ATCC_BAA-894 (gi|156934539|ref|YP_001438455.1|)
gi|27381341|ref|NP_772870.1|, Bradyrhizobium_diazoefficiens_USDA_110 (gi|27381341|ref|NP_772870.1|)
gi|226228637|ref|YP_002762743.1|, Gemmatimonas_aurantiaca_T-27 (gi|226228637|ref|YP_002762743.1|)
gi|491161290|ref|WP_005019677.1|, Acinetobacter_radioresistens (gi|491161290|ref|WP_005019677.1|)
gi|146339205|ref|YP_001204253.1|, Bradyrhizobium_sp._ORS_278 (gi|146339205|ref|YP_001204253.1|)
gi|493628947|ref|WP_006580921.1|, Acinetobacter_baumannii (gi|493628947|ref|WP_006580921.1|)
gi|494655603|ref|WP_007413547.1|, Pedosphaera_parvula (gi|494655603|ref|WP_007413547.1|)
gi|197296828|gb|ACH58988.1|, uncultured_bacterium_BLR8 (gi|197296828|gb|ACH58988.1|)
gi|487693950|ref|WP_001778182.1|, Salmonella_enterica (gi|487693950|ref|WP_001778182.1|)
gi|299770244|ref|YP_003732270.1|, Acinetobacter_oleivorans_DR1 (gi|299770244|ref|YP_003732270.1|)
gi|197296825|gb|ACH58985.1|, uncultured_bacterium_BLR2 (gi|197296825|gb|ACH58985.1|)
gi|116625917|ref|YP_828073.1|, Candidatus_Solibacter_usitatus_Ellin6076 (gi|116625917|ref|YP_828073.1|)
gi|320109170|ref|YP_004184760.1|, Terriglobus_saanensis_SP1PR4 (gi|320109170|ref|YP_004184760.1|)
gi|197103811|ref|YP_002129188.1|, Phenylobacterium_zucineum_HLK1 (gi|197103811|ref|YP_002129188.1|)
gi|242129277|gb|ACS83724.1|, uncultured_bacterium_AOCarb11 (gi|242129277|gb|ACS83724.1|)
gi|493314558|ref|WP_006271975.1|, Asticcacaulis_biprosthecium (gi|493314558|ref|WP_006271975.1|)
gi|103487388|ref|YP_616949.1|, Sphingopyxis_alaskensis_RB2256 (gi|103487388|ref|YP_616949.1|)
gi|21425614|emb|CAC87665.1|, Caulobacter_vibrioides (gi|21425614|emb|CAC87665.1|)
gi|146339273|ref|YP_001204321.1|, Bradyrhizobium_sp._ORS_278 (gi|146339273|ref|YP_001204321.1|)
gi|493926972|ref|WP_006871733.1|, Legionella_drancourtii (gi|493926972|ref|WP_006871733.1|)
gi|16126378|ref|NP_420942.1|, Caulobacter_crescentus_CB15 (gi|16126378|ref|NP_420942.1|)
gi|15131538|emb|CAC48262.1|, Caulobacter_vibrioides (gi|15131538|emb|CAC48262.1|)
gi|493317888|ref|WP_006275253.1|, Asticcacaulis_biprosthecium (gi|493317888|ref|WP_006275253.1|)
gi|33357283|pdb|1L9Y|A, Gormanii (gi|33357283|pdb|1L9Y|A)
gi|242129273|gb|ACS83721.1|, uncultured_bacterium_AOAmox1 (gi|242129273|gb|ACS83721.1|)
gi|167647370|ref|YP_001685033.1|, Caulobacter_sp._K31 (gi|167647370|ref|YP_001685033.1|)
gi|294146794|ref|YP_003559460.1|, Sphingobium_japonicum_UT26S (gi|294146794|ref|YP_003559460.1|)
gi|496315585|ref|WP_009024763.1|, gamma_proteobacterium_NOR5-3 (gi|496315585|ref|WP_009024763.1|)
gi|116624214|ref|YP_826370.1|, Candidatus_Solibacter_usitatus_Ellin6076 (gi|116624214|ref|YP_826370.1|)
gi|118161422|gb|ABK64103.1|, Janthinobacterium_lividum (gi|118161422|gb|ABK64103.1|)
gi|87199760|ref|YP_497017.1|, Novosphingobium_aromaticivorans_DSM_12444 (gi|87199760|ref|YP_497017.1|)
gi|256423562|ref|YP_003124215.1|, Chitinophaga_pinensis_DSM_2588 (gi|256423562|ref|YP_003124215.1|)
gi|118161336|gb|ABK64020.1|, Janthinobacterium_lividum (gi|118161336|gb|ABK64020.1|)
gi|295688704|ref|YP_003592397.1|, Caulobacter_segnis_ATCC_21756 (gi|295688704|ref|YP_003592397.1|)
gi|94970906|ref|YP_592954.1|, Candidatus_Koribacter_versatilis_Ellin345 (gi|94970906|ref|YP_592954.1|)
gi|374309441|ref|YP_005055871.1|, Granulicella_mallensis_MP5ACTX8 (gi|374309441|ref|YP_005055871.1|)
gi|197296845|gb|ACH59005.1|, uncultured_bacterium_BLR19 (gi|197296845|gb|ACH59005.1|)
gi|197296830|gb|ACH58990.1|, uncultured_bacterium_BLR12 (gi|197296830|gb|ACH58990.1|)
gi|494286751|ref|WP_007164418.1|, Erythrobacter_sp._NAP1 (gi|494286751|ref|WP_007164418.1|)
gi|49798142|gb|AAT68577.1|, Elizabethkingia_meningoseptica (gi|49798142|gb|AAT68577.1|)
gi|33772774|gb|AAQ54756.1|, Elizabethkingia_meningoseptica (gi|33772774|gb|AAQ54756.1|)
gi|49798135|gb|AAT68576.1|, Elizabethkingia_meningoseptica (gi|49798135|gb|AAT68576.1|)
gi|126571831|gb|ABO21417.1|, Elizabethkingia_meningoseptica (gi|126571831|gb|ABO21417.1|)
gi|255034371|ref|YP_003084992.1|, Dyadobacter_fermentans_DSM_18053 (gi|255034371|ref|YP_003084992.1|)
gi|197296834|gb|ACH58994.1|, uncultured_bacterium_BLR17 (gi|197296834|gb|ACH58994.1|)
gi|9587044|gb|AAF89148.1|AF189292_1, Elizabethkingia_meningoseptica (gi|9587044|gb|AAF89148.1|AF189292_1)
gi|9587040|gb|AAF89146.1|AF189290_1, Elizabethkingia_meningoseptica (gi|9587040|gb|AAF89146.1|AF189290_1)
gi|9587046|gb|AAF89149.1|AF189293_1, Elizabethkingia_meningoseptica (gi|9587046|gb|AAF89149.1|AF189293_1)
gi|495779693|ref|WP_008504272.1|, Mucilaginibacter_paludis (gi|495779693|ref|WP_008504272.1|)
gi|6164597|gb|AAF04458.1|AF090141_1, Elizabethkingia_meningoseptica (gi|6164597|gb|AAF04458.1|AF090141_1)
gi|9587042|gb|AAF89147.1|AF189291_1, Elizabethkingia_meningoseptica (gi|9587042|gb|AAF89147.1|AF189291_1)
gi|58802941|gb|AAW82619.1|, Elizabethkingia_meningoseptica (gi|58802941|gb|AAW82619.1|)
gi|9587052|gb|AAF89152.1|AF189296_1, Elizabethkingia_meningoseptica (gi|9587052|gb|AAF89152.1|AF189296_1)
gi|66732967|gb|AAY53478.1|, Elizabethkingia_meningoseptica (gi|66732967|gb|AAY53478.1|)
gi|49798147|gb|AAT68578.1|, Elizabethkingia_meningoseptica (gi|49798147|gb|AAT68578.1|)
gi|58802939|gb|AAW82618.1|, Elizabethkingia_meningoseptica (gi|58802939|gb|AAW82618.1|)
gi|49798159|gb|AAT68580.1|, Elizabethkingia_meningoseptica (gi|49798159|gb|AAT68580.1|)
gi|49798171|gb|AAT68582.1|, Elizabethkingia_meningoseptica (gi|49798171|gb|AAT68582.1|)
gi|49798153|gb|AAT68579.1|, Elizabethkingia_meningoseptica (gi|49798153|gb|AAT68579.1|)
gi|55793099|gb|AAV65595.1|, Elizabethkingia_meningoseptica (gi|55793099|gb|AAV65595.1|)
gi|9587054|gb|AAF89153.1|AF189297_1, Elizabethkingia_meningoseptica (gi|9587054|gb|AAF89153.1|AF189297_1)
gi|197296829|gb|ACH58989.1|, uncultured_bacterium_BLR9 (gi|197296829|gb|ACH58989.1|)
gi|197296827|gb|ACH58987.1|, uncultured_bacterium_BLR3 (gi|197296827|gb|ACH58987.1|)
gi|229470806|gb|ACQ71975.1|, Elizabethkingia_meningoseptica (gi|229470806|gb|ACQ71975.1|)
gi|487704963|ref|WP_001789195.1|, Salmonella_enterica (gi|487704963|ref|WP_001789195.1|)
gi|356483107|dbj|BAL14456.1|, Serratia_marcescens (gi|356483107|dbj|BAL14456.1|)
ROOT_U92041.1.gene1.p01, Escherichia_coli (ROOT_U92041.1.gene1.p01)
ROOT_U20270.1.gene1.p01, Escherichia_coli (ROOT_U20270.1.gene1.p01)
AGU01671.1, uncultured_bacterium (AGU01671.1)
AHG88625.1, Gemmatirosa_kalamazoonesis (AHG88625.1)
AIA10655.1, uncultured_bacterium (AIA10655.1)
AIA10847.1, uncultured_bacterium (AIA10847.1)
AIA11259.1, uncultured_bacterium (AIA11259.1)
AIA11435.1, uncultured_bacterium (AIA11435.1)
AIA11440.1, uncultured_bacterium (AIA11440.1)
AIA12063.1, uncultured_bacterium (AIA12063.1)
AIA12287.1, uncultured_bacterium (AIA12287.1)
AIA12294.1, uncultured_bacterium (AIA12294.1)
AIA12568.1, uncultured_bacterium (AIA12568.1)
AIA12654.1, uncultured_bacterium (AIA12654.1)
AIA12861.1, uncultured_bacterium (AIA12861.1)
AIA13030.1, uncultured_bacterium (AIA13030.1)
AIA13207.1, uncultured_bacterium (AIA13207.1)
AIA13290.1, uncultured_bacterium (AIA13290.1)
AIA13399.1, uncultured_bacterium (AIA13399.1)
AIA13505.1, uncultured_bacterium (AIA13505.1)
AIA13525.1, uncultured_bacterium (AIA13525.1)
AIA13529.1, uncultured_bacterium (AIA13529.1)
AIA15048.1, uncultured_bacterium (AIA15048.1)
AIA16275.1, uncultured_bacterium (AIA16275.1)
APR64487.1, uncultured_bacterium (APR64487.1)
EHL30096.1, Legionella_drancourtii_LLAP12 (EHL30096.1)
OAI53369.1, Planctomycetaceae_bacterium_SCGC_AG-212-F19 (OAI53369.1)
ODU93984.1, Rhodanobacter_sp._SCN_66-43 (ODU93984.1)
OFW17650.1, Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_65_29 (OFW17650.1)
OFW44808.1, Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_60_22 (OFW44808.1)
OGT47226.1, Gammaproteobacteria_bacterium_RIFCSPHIGHO2_12_FULL_41_20 (OGT47226.1)
OHB65358.1, Planctomycetes_bacterium_RBG_13_62_9 (OHB65358.1)
OJU07999.1, Alphaproteobacteria_bacterium_64-11 (OJU07999.1)
OJV43801.1, Acidobacteriales_bacterium_59-55 (OJV43801.1)
OJW57587.1, Sphingobacteriales_bacterium_50-39 (OJW57587.1)
OLB39795.1, Acidobacteria_bacterium_13_2_20CM_57_17 (OLB39795.1)
OLB87491.1, Acidobacteria_bacterium_13_2_20CM_2_57_6 (OLB87491.1)
OLD17149.1, Acidobacteria_bacterium_13_1_40CM_3_65_5 (OLD17149.1)
OLD69761.1, Acidobacteria_bacterium_13_1_40CM_2_56_11 (OLD69761.1)
OLD79784.1, Acidobacteria_bacterium_13_1_20CM_58_21 (OLD79784.1)
OLE14309.1, Acidobacteria_bacterium_13_1_20CM_4_56_7 (OLE14309.1)
OLE88228.1, Acidobacteria_bacterium_13_1_20CM_2_55_15 (OLE88228.1)
SDS59327.1, Opitutus_sp._GAS368 (SDS59327.1)
WP_007413547.1, Pedosphaera_parvula (WP_007413547.1)
WP_008972090.1, Bradyrhizobium_sp._STM_3843 (WP_008972090.1)
WP_011688508.1, Candidatus_Solibacter_usitatus (WP_011688508.1)
WP_014263725.1, Granulicella_mallensis (WP_014263725.1)
WP_015895042.1, Gemmatimonas_aurantiaca (WP_015895042.1)
WP_020653652.1, Massilia_niastensis (WP_020653652.1)
WP_020713927.1, Acidobacteriaceae_bacterium_KBS_89 (WP_020713927.1)
WP_020718489.1, Acidobacteriaceae_bacterium_KBS_96 (WP_020718489.1)
WP_022970226.1, Arenimonas_oryziterrae (WP_022970226.1)
WP_026387324.1, Acidobacteria_bacterium_KBS_146 (WP_026387324.1)
WP_026445345.1, Acidobacteriaceae_bacterium_URHE0068 (WP_026445345.1)
WP_026770472.1, Asinibacterium_sp._OR53 (WP_026770472.1)
WP_031498802.1, Bryobacter_aggregatus (WP_031498802.1)
WP_038615418.1, Dyella_jiangningensis (WP_038615418.1)
WP_043519724.1, Acidobacteriaceae_bacterium_TAA166 (WP_043519724.1)
WP_050060789.1, Silvibacterium_bohemicum (WP_050060789.1)
WP_058468956.1, Fluoribacter_gormanii (WP_058468956.1)
WP_063842702.1, uncultured_bacterium_BLR3 (WP_063842702.1)
WP_065999957.1, Mucilaginibacter_sp._PPCGB_2223 (WP_065999957.1)
WP_072454683.1, Janthinobacterium_lividum (WP_072454683.1)
WP_074654006.1, Terriglobus_roseus (WP_074654006.1)
WP_084201728.1, Chromobacterium_piscinae (WP_084201728.1)
WP_088872240.1, Nitrospirillum_amazonense (WP_088872240.1)
WP_089410229.1, Granulicella_rosea (WP_089410229.1)
WP_089712217.1, Chitinophaga_costaii (WP_089712217.1)
WP_089839825.1, Granulicella_pectinivorans (WP_089839825.1)
WP_090453777.1, Dyella_sp._OK004 (WP_090453777.1)
WP_091060243.1, Opitutus_sp._GAS368 (WP_091060243.1)
