LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
U92041.1.gene1.p01, Escherichia_coli (U92041.1.gene1.p01)
AY750914.gene.p01, Escherichia_coli (AY750914.gene.p01)
DQ663489.gene.p01, Escherichia_coli (DQ663489.gene.p01)
X92506.gene.p01, Escherichia_coli (X92506.gene.p01)
U50278.1.gene2.p01, Enterobacter_cloacae (U50278.1.gene2.p01)
U14748.1.gene2.p01, Aeromonas_hydrophila (U14748.1.gene2.p01)
FR823292.1.gene2.p01, Staphylococcus_aureus (FR823292.1.gene2.p01)
NC_005054.2598287.p01, Staphylococcus_aureus (NC_005054.2598287.p01)
NC_007931.3978604.p01, Staphylococcus_aureus (NC_007931.3978604.p01)
NC_005951.2853409.p01, Staphylococcus_aureus_subsp._aureus_MSSA476 (NC_005951.2853409.p01)
NC_005127.2610354.p01, Staphylococcus_aureus (NC_005127.2610354.p01)
NC_010066.5774791.p01, Staphylococcus_aureus_subsp._aureus_USA300_TCH959 (NC_010066.5774791.p01)
NC_010063.5774822.p01, Staphylococcus_aureus_subsp._aureus_USA300_TCH1516 (NC_010063.5774822.p01)
AF275256.gene.p01, Serratia_marcescens (AF275256.gene.p01)
Z28968.gene.p01, Serratia_marcescens (Z28968.gene.p01)
AY740681.1.gene9.p01, Aeromonas_caviae (AY740681.1.gene9.p01)
FJ627180.1.gene1.p01, Providencia_rettgeri (FJ627180.1.gene1.p01)
GQ396303.1.gene1.p01, Aeromonas_allosaccharophila (GQ396303.1.gene1.p01)
X93314.gene.p01, Salmonella_enterica_subsp._enterica_serovar_Typhimurium (X93314.gene.p01)
AF297554.1.gene1.p1, Klebsiella_pneumoniae (AF297554.1.gene1.p1)
AY034847.1.gene1.p01, Klebsiella_pneumoniae (AY034847.1.gene1.p01)
EU555534.1.gene1.p01, Klebsiella_pneumoniae (EU555534.1.gene1.p01)
EU729727.1.gene1.p1, Klebsiella_pneumoniae (EU729727.1.gene1.p1)
FJ234412.1.gene1.p01, Klebsiella_pneumoniae (FJ234412.1.gene1.p01)
GQ140348.1.gene1.p01, Acinetobacter_baumannii (GQ140348.1.gene1.p01)
HM066995.1.gene1.p01, Klebsiella_pneumoniae (HM066995.1.gene1.p01)
HQ641421.1.gene1.p01, Klebsiella_pneumoniae (HQ641421.1.gene1.p01)
AF395881.gene.p01, Klebsiella_pneumoniae (AF395881.gene.p01)
NC_010410.6002875.p01, Acinetobacter_baumannii_AYE (NC_010410.6002875.p01)
AY027870.1.gene1.p01, Pseudomonas_aeruginosa (AY027870.1.gene1.p01)
AY536519.1.gene1.p01, Enterobacter_cloacae (AY536519.1.gene1.p01)
EF136375.1.gene1.p01, Proteus_mirabilis (EF136375.1.gene1.p01)
EF420108.1.gene1.p01, Escherichia_coli (EF420108.1.gene1.p01)
X98102.1.gene1.p01, Klebsiella_pneumoniae (X98102.1.gene1.p01)
JN416112.1.gene1.p01, Escherichia_coli (JN416112.1.gene1.p01)
AF332513.1.gene1.p01, Escherichia_coli (AF332513.1.gene1.p01)
gi|115039|sp|P14559.1|BLAC_STRAL, Precursor (gi|115039|sp|P14559.1|BLAC_STRAL)
gi|490078826|ref|WP_003980953.1|, Streptomyces_rimosus (gi|490078826|ref|WP_003980953.1|)
gi|115036|sp|P14171.1|BLAC_RHOCA, Precursor (gi|115036|sp|P14171.1|BLAC_RHOCA)
gi|5915793|sp|Q59517.1|BLAF_MYCFO, Precursor (gi|5915793|sp|Q59517.1|BLAF_MYCFO)
gi|461626|sp|Q03680.1|BLA1_STRCI, Precursor (gi|461626|sp|Q03680.1|BLA1_STRCI)
gi|492386200|ref|WP_005827792.1|, Bacteroides (gi|492386200|ref|WP_005827792.1|)
gi|492287460|ref|WP_005799525.1|, Bacteroides_fragilis (gi|492287460|ref|WP_005799525.1|)
gi|53712542|ref|YP_098534.1|, Bacteroides_fragilis_YCH46 (gi|53712542|ref|YP_098534.1|)
gi|60680724|ref|YP_210868.1|, Bacteroides_fragilis_NCTC_9343 (gi|60680724|ref|YP_210868.1|)
gi|490429857|ref|WP_004301991.1|, Bacteroides_ovatus (gi|490429857|ref|WP_004301991.1|)
gi|399120|sp|P30899.1|BLAC_BACVU, Precursor (gi|399120|sp|P30899.1|BLAC_BACVU)
gi|490469169|ref|WP_004339683.1|, Bacteroidales (gi|490469169|ref|WP_004339683.1|)
gi|21327015|gb|AAM48122.1|AF504915_1, Prevotella_intermedia (gi|21327015|gb|AAM48122.1|AF504915_1)
gi|21327013|gb|AAM48121.1|AF504914_1, Prevotella_denticola (gi|21327013|gb|AAM48121.1|AF504914_1)
gi|21327005|gb|AAM48117.1|AF504910_1, Prevotella_buccae (gi|21327005|gb|AAM48117.1|AF504910_1)
gi|54660105|gb|AAV37206.1|, Parabacteroides_distasonis (gi|54660105|gb|AAV37206.1|)
gi|54660103|gb|AAV37205.1|, Bacteroides_fragilis (gi|54660103|gb|AAV37205.1|)
gi|490477860|ref|WP_004348227.1|, Bacteroidales (gi|490477860|ref|WP_004348227.1|)
gi|21327003|gb|AAM48116.1|AF504909_1, Prevotella_bivia (gi|21327003|gb|AAM48116.1|AF504909_1)
gi|21327021|gb|AAM48125.1|AF504918_1, Prevotella_oralis (gi|21327021|gb|AAM48125.1|AF504918_1)
gi|21327019|gb|AAM48124.1|AF504917_1, Prevotella_melaninogenica (gi|21327019|gb|AAM48124.1|AF504917_1)
gi|496046347|ref|WP_008770854.1|, Bacteroides (gi|496046347|ref|WP_008770854.1|)
ROOT_S71932.1.gene1.p01, Serratia_marcescens (ROOT_S71932.1.gene1.p01)
ROOT_M63556.1.gene1.p01, Bacteroides_fragilis (ROOT_M63556.1.gene1.p01)
AIA14345.1, uncultured_bacterium (AIA14345.1)
AIA16944.1, uncultured_bacterium (AIA16944.1)
AIA18098.1, uncultured_bacterium (AIA18098.1)
AMP54146.1, uncultured_bacterium (AMP54146.1)
KYF68745.1, Sorangium_cellulosum (KYF68745.1)
OJY17226.1, Myxococcales_bacterium_68-20 (OJY17226.1)
OLA96680.1, Verrucomicrobia_bacterium_13_2_20CM_55_10 (OLA96680.1)
OLE11367.1, Verrucomicrobia_bacterium_13_1_20CM_3_54_17 (OLE11367.1)
OYY47126.1, Rhodospirillales_bacterium_35-66-84 (OYY47126.1)
SCL48084.1, Micromonospora_yangpuensis (SCL48084.1)
SDJ82500.1, Bradyrhizobium_ottawaense (SDJ82500.1)
SHN86785.1, Bradyrhizobium_erythrophlei (SHN86785.1)
WP_006758954.1, Burkholderia_ambifaria (WP_006758954.1)
WP_008974201.1, Bradyrhizobium_sp._STM_3843 (WP_008974201.1)
WP_009341300.1, Afipia_sp._1NLS2 (WP_009341300.1)
WP_011509040.1, Nitrobacter_hamburgensis (WP_011509040.1)
WP_012470625.1, Geobacter (WP_012470625.1)
WP_012589141.1, Methylocella_silvestris (WP_012589141.1)
WP_013235294.1, Herbaspirillum_seropedicae (WP_013235294.1)
WP_014491135.1, Bradyrhizobium_japonicum (WP_014491135.1)
WP_014787344.1, Terriglobus_roseus (WP_014787344.1)
WP_015342891.1, Rhizobium_tropici (WP_015342891.1)
WP_020715931.1, Acidobacteriaceae_bacterium_KBS_89 (WP_020715931.1)
WP_020734315.1, Sorangium_cellulosum (WP_020734315.1)
WP_024506930.1, Bradyrhizobium_sp._ARR65 (WP_024506930.1)
WP_024518755.1, Bradyrhizobium_sp._Tv2a-2 (WP_024518755.1)
WP_027298965.1, Rhodospirillales_bacterium_URHD0088 (WP_027298965.1)
WP_027531423.1, Bradyrhizobium_sp._WSM3983 (WP_027531423.1)
WP_029702535.1, Aurantimonas_coralicida (WP_029702535.1)
WP_029923073.1, Nevskia_soli (WP_029923073.1)
WP_030985184.1, Streptomyces_sp._NRRL_S-1813 (WP_030985184.1)
WP_035870551.1, Cupriavidus_sp._SK-3 (WP_035870551.1)
WP_037457364.1, Skermanella_stibiiresistens (WP_037457364.1)
WP_044415063.1, Rhodopseudomonas_palustris (WP_044415063.1)
WP_050465144.1, Herbaspirillum_autotrophicum (WP_050465144.1)
WP_053199718.1, Herbaspirillum_hiltneri (WP_053199718.1)
WP_059876147.1, Burkholderia_ubonensis (WP_059876147.1)
WP_061942134.1, Collimonas_pratensis (WP_061942134.1)
WP_062382383.1, Pseudomonas_abietaniphila (WP_062382383.1)
WP_067001351.1, Mesorhizobium_sp._WSM3873 (WP_067001351.1)
WP_067417424.1, Mycobacterium_sp._1423905.2 (WP_067417424.1)
WP_068015274.1, Rhodoplanes_sp._Z2-YC6860 (WP_068015274.1)
WP_072824789.1, Bradyrhizobium_erythrophlei (WP_072824789.1)
WP_077514940.1, Rhodanobacter_sp._B05 (WP_077514940.1)
WP_077517726.1, Rhodanobacter_sp._C03 (WP_077517726.1)
WP_079565313.1, Bradyrhizobium_erythrophlei (WP_079565313.1)
WP_081741017.1, Hyphomicrobium_sp._802 (WP_081741017.1)
WP_082125643.1, Silvibacterium_bohemicum (WP_082125643.1)
WP_082932788.1, Ralstonia_insidiosa (WP_082932788.1)
WP_085404042.1, Bradyrhizobium_japonicum (WP_085404042.1)
WP_091682711.1, Methylobacterium_sp._275MFSha3.1 (WP_091682711.1)
WP_091918337.1, Mesorhizobium_sp._YR577 (WP_091918337.1)
WP_092229060.1, Bradyrhizobium_sp._Gha (WP_092229060.1)
WP_092294823.1, Bradyrhizobium_sp._Ghvi (WP_092294823.1)
WP_092637084.1, Rhizobiales_bacterium_GAS113 (WP_092637084.1)
WP_092826989.1, Rhodospirillales_bacterium_URHD0017 (WP_092826989.1)
WP_092876222.1, Rhizobiales_bacterium_GAS188 (WP_092876222.1)
WP_092914531.1, Rhizobiales_bacterium_GAS191 (WP_092914531.1)
WP_094927201.1, Pseudonocardia_sp._MH-G8 (WP_094927201.1)
