COGID	C01	C03	C04	C05	C06	C07	C10	C12	C14	C15	C16	C17	Func_name
COG0626	16728	19201	19205	20266	14430	15409	20084	12934	13276	10426	30819	17089	Cystathionine beta-lyase/cystathionine gamma-synthase
COG0627	4331	4472	4039	3924	4228	3347	7255	3784	4884	2589	9501	3331	S-formylglutathione hydrolase FrmB
COG0628	13899	16965	16692	15232	13642	13802	19266	15614	15605	12122	36501	17013	Predicted PurR-regulated permease PerM
COG0629	8185	7253	7541	7961	5321	5908	13254	8187	9527	6862	18389	5543	Single-stranded DNA-binding protein
COG0630	1194	848	898	1394	1011	818	6363	1441	3611	1566	1528	344	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0631	12686	12368	11977	12657	10714	9322	17146	11692	12405	8936	21619	10898	Serine/threonine protein phosphatase PrpC
COG0632	4562	5547	5307	5274	4172	4466	7002	4814	4781	3782	11751	4782	Holliday junction resolvasome RuvABC DNA-binding subunit
COG0633	5380	7066	5514	6635	6876	4640	8165	6666	3912	4919	13232	3907	Ferredoxin
COG0634	5347	6442	6352	5571	4452	4835	6672	6114	6202	4156	12798	5563	Hypoxanthine-guanine phosphoribosyltransferase
COG0635	9014	10847	10824	10972	8170	8744	12297	7880	6441	6860	19394	11467	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
COG0636	2980	3474	2847	3301	3120	2877	7758	4314	4492	3596	8486	2221	"FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K"
COG0637	10169	10512	9380	9513	8125	7444	14481	9842	9501	7321	21939	7869	"Beta-phosphoglucomutase or related phosphatase, HAD superfamily"
COG0638	2165	2209	1696	2012	2076	1534	11134	1675	4746	2326	4953	1831	"20S proteasome, alpha and beta subunits"
COG0639	581	598	494	527	636	516	1132	838	637	752	1369	316	"Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family"
COG0640	26642	21635	21392	22146	18978	17622	36266	25083	21696	16510	50187	14413	"DNA-binding transcriptional regulator, ArsR family"
COG0641	3207	3923	4006	3812	2930	3207	4898	4440	3474	2969	5519	3657	"Sulfatase maturation enzyme AslB, radical SAM superfamily"
COG0642	105689	125545	112844	119406	98552	99312	104216	92731	80441	73944	241208	103977	Signal transduction histidine kinase
COG0643	13994	15734	15516	17780	11974	12486	11471	10916	7638	9466	24894	9742	Chemotaxis protein histidine kinase CheA
COG0644	18341	21566	21670	20217	15933	16394	36058	18548	25247	16470	42412	19966	Dehydrogenase (flavoprotein)
COG0645	2503	2047	2411	2095	2313	1851	4449	3674	2536	3002	5765	1267	Predicted kinase
COG0646	11321	13605	13607	13234	9072	10164	13512	9613	10181	7839	23533	13942	"Methionine synthase I (cobalamin-dependent), methyltransferase domain"
COG0647	3974	3745	3216	3396	3011	2734	32598	3198	3819	3272	8285	3734	"Ribonucleotide monophosphatase NagD, HAD superfamily"
COG0648	4213	4810	4764	4177	3400	3867	8681	3255	6341	3445	12637	4678	Endonuclease IV
COG0649	11104	14118	15186	14742	10184	11423	15988	9583	11259	8873	24610	16664	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
COG0650	2094	1587	1972	1874	1921	1548	6199	2217	1707	2541	3703	1605	Formate hydrogenlyase subunit 4
COG0651	4380	3444	4053	3657	4187	3325	13479	4886	5227	4833	10638	2953	"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit"
COG0652	10026	12671	11027	11506	9519	9484	12112	9261	8993	7717	24779	12353	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
COG0653	17049	22379	22813	21974	15149	17437	21671	10321	12855	10393	30608	24353	"Preprotein translocase subunit SecA (ATPase, RNA helicase)"
COG0654	28329	33507	30632	34904	25344	26071	30586	17827	15348	14927	52740	24395	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG0655	2106	2060	1662	2081	1614	1338	2436	1589	925	1212	4722	1724	Multimeric flavodoxin WrbA
COG0656	6255	9101	7193	8234	6758	5905	11080	4677	4910	3854	12301	7771	"Aldo/keto reductase, related to diketogulonate reductase"
COG0657	16365	21082	16164	18977	19836	13926	20575	16923	11561	11720	34795	12752	Acetyl esterase/lipase
COG0658	2451	3161	2804	2726	2703	2540	5019	4086	3761	3484	9696	2665	Predicted membrane metal-binding protein
COG0659	6133	9884	9106	9709	7556	6900	3337	4419	2863	3004	12995	15656	"Sulfate permease or related transporter, MFS superfamily"
COG0661	9047	10319	9529	8399	7871	7425	11987	6044	8624	7053	21035	9999	"Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family"
COG0662	19665	21982	19057	18154	18253	15109	26942	19922	20961	14496	63567	17145	"Mannose-6-phosphate isomerase, cupin superfamily"
COG0663	4807	4706	4876	4900	3594	4179	7683	5371	5993	4408	10981	3994	"Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily"
COG0664	40505	41566	46657	40440	32909	33141	37599	36582	29409	25431	86954	31900	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases
COG0665	30351	34099	30419	30247	26073	25279	37191	24939	22605	20548	63150	28277	Glycine/D-amino acid oxidase (deaminating)
COG0666	14378	23383	13955	22496	21183	16508	4664	10775	7088	7266	27651	18976	Ankyrin repeat
COG0667	51720	65304	54613	62840	45035	41043	68298	33196	35211	26951	85140	44700	Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)
COG0668	5758	7179	6939	6708	6984	5544	13482	8078	8708	5804	15376	4432	Small-conductance mechanosensitive channel
COG0669	4375	5534	5107	5304	4099	3921	8185	4991	5067	3681	10786	4713	Phosphopantetheine adenylyltransferase
COG0670	2078	2594	2204	2271	2334	2250	2697	1976	1550	1589	4209	1964	"Integral membrane protein, interacts with FtsH"
COG0671	7381	5751	6146	4887	4875	4711	10187	7063	9070	5035	17044	4540	Membrane-associated phospholipid phosphatase
COG0672	2799	3529	3075	3254	2427	2384	5166	3815	3248	3310	7889	2406	High-affinity Fe2+/Pb2+ permease
COG0673	60074	60882	58936	57912	55163	50895	94574	68997	72008	51184	125838	55014	Predicted dehydrogenase
COG0674	12174	12903	17662	13401	10729	11125	17198	10794	12743	8317	25527	13529	"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit"
COG0675	6909	2849	3896	2847	3016	2264	31620	13445	12602	9619	5770	1019	Transposase
COG0676	704	917	507	617	501	447	207	1008	224	449	947	626	D-hexose-6-phosphate mutarotase
COG0677	10043	11391	12238	10920	8237	8955	17912	11729	10823	7611	20325	11357	UDP-N-acetyl-D-mannosaminuronate dehydrogenase
COG0678	1006	1816	1629	1924	1957	1286	2538	1506	716	1405	2874	1302	Peroxiredoxin
COG0679	936	1197	832	1177	875	715	718	829	625	518	2103	1076	Predicted permease
COG0680	2083	2526	2404	2008	2284	1832	3973	4518	2743	2100	5419	866	"Ni,Fe-hydrogenase maturation factor"
COG0681	8199	8854	8034	8426	7145	6867	14079	10696	10393	7385	21020	5695	Signal peptidase I
COG0682	7585	7751	7450	7869	6034	6117	9447	6242	6401	5570	16721	6484	Prolipoprotein diacylglyceryltransferase
COG0683	35035	40594	42373	42428	35186	38356	84264	38467	35544	26138	84581	36229	"ABC-type branched-chain amino acid transport system, periplasmic component"
COG0684	6115	7335	7080	8176	6422	6777	16775	11121	10278	6572	14646	5294	Regulator of RNase E activity RraA
COG0685	8005	9452	8798	9469	7528	7167	18277	8858	8543	6146	17860	7612	"5,10-methylenetetrahydrofolate reductase"
COG0686	5020	6663	5815	6567	5179	5438	5945	3487	4210	4226	11952	7281	Alanine dehydrogenase
COG0687	7568	10856	8748	9812	7585	7522	6136	6077	4243	5261	16676	11214	Spermidine/putrescine-binding periplasmic protein
COG0688	3567	5064	4069	4965	3960	3711	4012	3990	3137	3704	8052	2924	Phosphatidylserine decarboxylase
COG0689	4752	6416	6106	6043	4948	4756	10271	5238	5950	4567	11545	6323	Ribonuclease PH
COG0690	3097	3731	3400	3543	3161	2888	6171	4161	3995	3306	8837	2823	Preprotein translocase subunit SecE
COG0691	4167	5146	4736	4926	4004	4216	8293	4843	5379	4503	11102	4430	tmRNA-binding protein
COG0692	1110	724	630	785	830	722	1781	697	447	581	1502	722	Uracil DNA glycosylase
COG0693	4907	5874	4921	5538	5595	5225	8389	5935	6625	4709	12554	3157	Putative intracellular protease/amidase
COG0694	1668	2308	1627	1897	1889	1725	3539	1730	1995	1331	4834	1460	"Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain"
COG0695	5133	5392	4296	4849	3739	3416	11588	8903	8586	6252	16338	3220	Glutaredoxin
COG0696	6149	8124	8661	8214	5089	6303	10127	5332	6050	4306	13671	6731	"Phosphoglycerate mutase (BPG-independent, AlkP superfamily)"
COG0697	5003	4697	4077	3857	5306	3492	12543	8097	10172	6462	17266	1969	Permease of the drug/metabolite transporter (DMT) superfamily
COG0698	3598	3889	3528	3444	2457	3327	7811	3906	4744	2788	11601	4625	Ribose 5-phosphate isomerase RpiB
COG0699	53	48	0	4	34	0	0	3	0	0	11	0	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)
COG0700	142	194	120	207	210	163	82	85	59	69	394	422	Spore maturation protein SpmB (function unknown)
COG0701	2416	1685	1850	1366	1228	1294	5900	2938	3730	1303	4791	1008	"Uncharacterized membrane protein YraQ, UPF0718 family"
COG0702	8824	8986	7742	8600	7105	6352	5596	4621	4073	4356	14132	7344	"Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains"
COG0703	5601	5957	5594	6036	4938	4598	8790	6131	5624	5093	13213	4328	Shikimate kinase
COG0704	6467	8247	8298	8818	6770	6492	18410	8549	11572	6663	15339	6174	Phosphate uptake regulator
COG0705	9042	10463	10383	9734	8237	7856	16220	11522	12803	8528	24027	8364	"Membrane associated serine protease, rhomboid family"
COG0706	5666	7133	6613	6851	5160	5590	9031	5730	5770	4334	13043	6130	"Membrane protein insertase Oxa1/YidC/SpoIIIJ, required for the localization of integral membrane proteins"
COG0707	9908	11103	9872	10795	8080	8650	21241	11813	11604	8818	21527	8899	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase
COG0708	6424	8327	7283	8100	6623	6687	7129	4878	4429	4441	15593	8584	Exonuclease III
COG0709	4667	4900	5358	4637	3465	3565	7213	4183	4722	3241	10317	5132	Selenophosphate synthase
COG0710	1696	2240	2260	2283	1831	1756	5564	3036	3390	2360	4291	1391	3-dehydroquinate dehydratase
COG0711	5298	6270	5141	5657	5717	5139	11834	9292	7802	6379	16328	3981	"FoF1-type ATP synthase, membrane subunit b or b'"
COG0712	4546	5172	4492	4760	4114	4095	8157	4957	5007	4049	10932	4548	"FoF1-type ATP synthase, delta subunit"
COG0713	5350	6222	6132	6096	5027	4889	11125	7019	7084	5494	14503	5884	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
COG0714	27119	31967	30108	28470	25113	24106	35398	21647	26636	19816	59810	34930	MoxR-like ATPase
COG0715	16873	29740	23880	23179	25547	21424	114679	42672	39294	25856	214297	31389	"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
COG0716	523	435	414	381	378	298	692	397	474	334	1188	405	Flavodoxin
COG0717	4752	6349	5754	6193	4441	4838	11933	5329	7254	4395	11322	5435	Deoxycytidine triphosphate deaminase
COG0718	3366	3637	3438	3473	2926	3016	5897	4596	4217	3274	9023	2652	Conserved DNA-binding protein YbaB (function unknown)
COG0719	11566	14641	15230	13328	10890	12131	24647	10118	15334	9363	26424	15866	Fe-S cluster assembly scaffold protein SufB
COG0720	5801	5776	6428	6658	4769	5078	10484	9028	7581	5985	12373	4023	6-pyruvoyl-tetrahydropterin synthase
COG0721	3304	3997	3543	3728	3072	3056	6582	5136	4347	3484	9925	3086	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit
COG0722	2302	2313	1702	2268	1626	1415	1960	918	1448	1588	3814	2596	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
COG0723	6858	7471	7713	6909	6704	5946	13669	10895	11378	8241	22926	5356	Rieske Fe-S protein
COG0724	5904	7297	6300	6586	6638	5168	4902	5845	4420	4927	15310	5081	 RNA recognition motif (RRM) domain
COG0725	6301	9656	9447	9194	8483	7850	12624	9422	7013	5117	16028	7214	"ABC-type molybdate transport system, periplasmic component"
COG0726	18651	21529	20240	19533	19790	18494	35167	27077	25105	18759	57020	14494	"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family"
COG0727	1333	1718	1354	1793	1940	1754	2222	2141	1557	1743	4486	989	Fe-S-cluster containining protein
COG0728	10761	11414	11086	11643	7907	8882	17855	10057	10218	9231	20925	9380	"Peptidoglycan biosynthesis protein MviN/MurJ, putative lipid II flippase"
COG0729	2434	3263	2821	3388	2334	2588	2937	2500	1413	1089	3806	2799	Outer membrane translocation and assembly module TamA
COG0730	8323	8741	8347	8825	8683	7520	22722	14008	14869	10277	27808	4734	Uncharacterized membrane protein YfcA
COG0731	521	445	363	375	443	302	860	313	906	589	1109	451	"Wyosine [tRNA(Phe)-imidazoG37] synthetase, radical SAM superfamily"
COG0732	2222	1767	1519	1553	1606	1765	4280	4078	2518	2791	6109	479	Restriction endonuclease S subunit
COG0733	305	463	305	343	554	447	196	465	395	392	682	319	"Na+-dependent transporter, SNF family"
COG0735	7233	9163	8265	8560	7969	6946	17796	13265	10257	9312	20482	5271	Fe2+ or Zn2+ uptake regulation protein
COG0736	3206	4216	3637	3956	3130	3270	6854	4455	4121	3550	9536	3047	Phosphopantetheinyl transferase (holo-ACP synthase)
COG0737	2012	3374	2818	2904	2622	3123	2021	1485	1514	1414	8946	5740	"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family"
COG0738	9563	9221	8983	10752	7028	7005	10315	8834	7000	5875	14306	5460	Fucose permease
COG0739	11058	10489	10193	9570	9028	9032	12448	12916	12656	10632	32246	11391	"Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain"
COG0740	10331	11418	10519	10182	7665	8696	13711	6821	8372	6740	18972	10561	"ATP-dependent protease ClpP, protease subunit"
COG0741	10320	11304	11395	11764	9964	9798	19912	18619	15838	12541	32965	8566	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)
COG0742	4638	5277	4792	5092	3817	4103	7616	5149	4993	3838	11511	3993	16S rRNA G966 N2-methylase RsmD
COG0743	6474	8533	8175	8503	5961	6200	8387	5254	5861	4846	14453	7955	1-deoxy-D-xylulose 5-phosphate reductoisomerase
COG0744	13846	14823	15322	14083	10790	11856	17604	10252	11716	9416	32316	14881	Membrane carboxypeptidase (penicillin-binding protein)
COG0745	110273	117659	108420	110699	91051	89461	127613	96942	96742	73738	248241	95057	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
COG0746	3688	4413	4161	4162	3418	3480	10750	5241	5646	3850	10449	2929	Molybdopterin-guanine dinucleotide biosynthesis protein A
COG0747	48979	49964	55467	36581	45057	41791	84262	40573	50243	32994	106531	57812	"ABC-type transport system, periplasmic component"
COG0748	639	1523	1467	1423	1211	1157	1108	919	431	645	1809	726	Putative heme iron utilization protein
COG0749	13020	12997	13356	13416	9419	10913	14471	7226	8881	8179	22496	14240	DNA polymerase I - 3'-5' exonuclease and polymerase domains
COG0750	7407	9021	8754	8777	7278	7451	14032	9693	9460	6863	17983	7254	"Membrane-associated protease RseP, regulator of RpoE activity"
COG0751	5776	8912	9246	10047	5902	6715	7970	5038	4318	4258	10316	6401	"Glycyl-tRNA synthetase, beta subunit"
COG0752	3441	5183	5409	6002	3989	4176	4763	4846	3646	2878	6492	4139	"Glycyl-tRNA synthetase, alpha subunit"
COG0753	4744	5818	3774	4887	3898	2507	3329	1597	1349	1435	5775	4569	Catalase
COG0754	1775	1439	1250	1422	1249	1342	658	938	656	898	2415	958	Glutathionylspermidine synthase
COG0755	4009	5175	4994	5017	4018	4188	7739	5401	5151	3936	11304	3890	"ABC-type transport system involved in cytochrome c biogenesis, permease component"
COG0756	2534	3370	2526	3184	2591	2440	5449	2436	2548	2448	7561	2604	dUTPase
COG0757	2798	3654	2825	2985	2963	2710	5678	2482	2978	2225	6721	3142	3-dehydroquinate dehydratase
COG0758	6668	7394	7127	7222	5771	5890	12994	6335	7876	5739	16131	5181	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake
COG0759	2764	3174	2671	2852	2604	2360	5150	3059	3141	2787	7939	2040	"Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ"
COG0760	5723	7301	6011	7256	7049	5670	12053	10182	8011	7900	16153	4771	Parvulin-like peptidyl-prolyl isomerase
COG0761	7403	10090	9071	9545	6751	7283	13233	5589	6775	4849	17102	9703	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH
COG0762	1280	1592	1182	1163	1464	1083	3842	1812	2185	1808	5642	1024	"Uncharacterized conserved protein YggT, Ycf19 family"
COG0763	3865	5637	5523	6362	4286	4859	6144	4742	4213	3809	9197	4364	Lipid A disaccharide synthetase
COG0764	4699	6659	6053	6438	5611	5630	7478	6322	5147	5028	13027	5478	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
COG0765	5865	7775	7042	5953	6061	7572	7958	7078	5205	5518	17785	8536	"ABC-type amino acid transport system, permease component"
COG0766	8859	10243	10602	11417	7326	8409	14202	6286	7548	5720	17952	10509	UDP-N-acetylglucosamine enolpyruvyl transferase
COG0767	7434	10288	9383	10629	7483	7477	12052	6292	6793	6501	18619	8724	"ABC-type transporter Mla maintaining outer membrane lipid asymmetry, permease component MlaE"
COG0768	22728	27083	25861	26846	17988	20474	33970	17575	19680	15623	49941	24538	Cell division protein FtsI/penicillin-binding protein 2
COG0769	9253	11139	10896	11400	7708	8341	15816	7513	9474	7193	20887	11889	UDP-N-acetylmuramyl tripeptide synthase
COG0770	8843	10102	10165	10255	6988	8009	13138	8532	8450	6591	17932	9711	UDP-N-acetylmuramyl pentapeptide synthase
COG0771	7878	9918	9823	10212	6964	8112	12712	6962	7749	5956	17437	10146	UDP-N-acetylmuramoylalanine-D-glutamate ligase
COG0772	13937	17281	16472	17086	12043	13213	24694	14697	14819	10348	32362	17083	"Bacterial cell division protein FtsW, lipid II flippase"
COG0773	11036	14437	15021	14725	9618	11488	14537	9588	8832	8220	24622	15228	UDP-N-acetylmuramate-alanine ligase
COG0774	3382	5339	5091	5531	4065	4208	5085	4586	3617	3718	8372	3980	UDP-3-O-acyl-N-acetylglucosamine deacetylase
COG0775	4750	5192	3881	4374	4398	3564	6954	5931	3747	3779	11115	2684	Nucleoside phosphorylase
COG0776	9173	12605	11853	12891	10036	9539	14742	13921	9788	10506	25125	9394	Bacterial nucleoid DNA-binding protein
COG0777	6233	7457	7701	7618	5198	6043	8054	5737	6076	4487	12977	6706	Acetyl-CoA carboxylase beta subunit
COG0778	10902	11637	9787	9895	9704	8131	22525	10267	12988	9846	25155	6397	Nitroreductase
COG0779	3043	4395	3886	4410	3268	3219	6588	4276	3494	3045	8709	2996	Ribosome maturation factor RimP
COG0780	2674	3520	3143	3153	2840	2746	4173	4898	3398	3131	7015	2734	"NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily"
COG0781	4875	6572	5726	6139	4955	5079	11885	7593	7521	5283	16507	4846	Transcription termination factor NusB
COG0782	6953	8865	7767	7926	6779	6638	10142	7833	7920	6537	18887	7495	"Transcription elongation factor, GreA/GreB family"
COG0783	2704	4191	3763	3707	2882	2878	5933	4091	2893	2961	5716	2661	DNA-binding ferritin-like protein (oxidative damage protectant)
COG0784	18798	20423	17226	19158	18781	17337	16690	17575	12605	14565	36886	11963	CheY chemotaxis protein or a CheY-like REC (receiver) domain
COG0785	4214	4066	4223	4086	2542	3188	6359	4702	5622	3549	11647	2682	Cytochrome c biogenesis protein CcdA
COG0786	314	283	444	357	353	261	392	301	310	238	475	466	Na+/glutamate symporter
COG0787	6269	8192	8080	7837	5266	6351	8993	6048	5814	5093	14316	7379	Alanine racemase
COG0788	2952	3161	3132	3429	2578	2687	4425	3096	2219	2078	5267	2416	Formyltetrahydrofolate hydrolase
COG0789	22620	17170	17801	17671	14678	13969	36346	22475	24114	16189	50466	12469	"DNA-binding transcriptional regulator, MerR family"
COG0790	10011	14413	12028	13732	12725	10790	2903	12358	3322	6674	30205	5780	TPR repeat
COG0791	5822	6208	4213	4130	3808	3751	12952	3195	6992	3927	18492	5496	"Cell wall-associated hydrolase, NlpC family"
COG0792	3227	3626	3195	3234	3055	2900	6624	4272	4522	3458	9182	2453	Predicted endonuclease distantly related to archaeal Holliday junction resolvase
COG0793	22542	26040	25485	27626	22904	21881	36567	25350	21689	17698	46401	19100	"C-terminal processing protease CtpA/Prc, contains a PDZ domain"
COG0794	2615	4006	3694	4226	3184	3029	3772	4086	3197	3045	6943	2931	D-arabinose 5-phosphate isomerase GutQ
COG0795	5546	8106	8124	8748	6461	6786	10896	6922	6158	6167	13707	5909	"Lipopolysaccharide export LptBFGC system, permease protein LptF"
COG0796	3382	3754	3798	3488	2814	3277	42478	11080	3759	2971	9144	3736	Glutamate racemase
COG0797	4468	5447	5208	5912	5015	4371	8156	8098	5522	5899	11635	2709	"Rare lipoprotein A, peptidoglycan hydrolase digesting ""naked"" glycans, contains C-terminal SPOR domain"
COG0798	1716	1180	2478	1821	1287	1456	3469	2553	1752	1742	3728	561	"Arsenite efflux pump ArsB, ACR3 family"
COG0799	3665	4418	3745	4019	3346	3222	6497	4471	4400	3454	9329	3499	"Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits"
COG0800	3574	4082	3401	4961	3272	3296	5463	4470	3731	3270	6728	2552	2-keto-3-deoxy-6-phosphogluconate aldolase
COG0801	3796	4761	4150	4553	3720	3687	9161	5182	5034	3693	11037	3436	"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase"
COG0802	3729	4433	3964	4094	3456	3578	7245	4903	4494	3620	10456	3140	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE
COG0803	2676	3048	2906	2583	2798	2633	5251	2932	2714	3166	8715	4476	"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA"
COG0804	4090	6187	6083	5812	3943	4042	4591	2195	1705	1865	5852	5848	Urease alpha subunit
COG0805	5515	7182	6580	6843	4895	5096	11225	5315	6979	4947	14587	6071	Sec-independent protein secretion pathway component TatC
COG0806	4044	4466	4174	4431	3451	3557	7107	4454	4445	3597	9574	3292	"Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing"
COG0807	6900	9132	8551	8516	7346	6730	9406	7935	6473	6140	17351	7386	GTP cyclohydrolase II
COG0809	7075	8201	8045	8138	6083	6307	11277	7844	7800	5841	15314	8125	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)
COG0810	23427	26946	27233	27432	22222	22343	20558	39567	19421	19980	58829	12113	"Periplasmic protein TonB, links inner and outer membranes"
COG0811	6876	10473	8826	10229	8559	7898	8982	8573	6626	7609	16896	8089	Biopolymer transport protein ExbB/TolQ
COG0812	5686	7076	7188	7261	5124	6046	8971	5525	6104	4858	14575	6237	UDP-N-acetylenolpyruvoylglucosamine reductase
COG0813	511	777	570	495	332	339	508	216	596	355	2344	1213	Purine-nucleoside phosphorylase
COG0814	225	437	260	243	378	394	190	289	188	179	934	77	Amino acid permease
COG0815	7263	9058	7933	9441	6718	7003	12230	8766	6095	6026	16328	6539	Apolipoprotein N-acyltransferase
COG0816	3663	4376	3942	4148	3507	3631	7871	4888	4945	3455	9695	3050	"RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators"
COG0817	4496	5157	4716	4786	3885	4220	8586	5118	4782	3905	11426	4362	Holliday junction resolvasome RuvABC endonuclease subunit
COG0818	1058	1483	1238	1219	1080	1033	2040	1141	1518	1128	3721	1261	Diacylglycerol kinase
COG0819	1157	769	870	811	690	458	4492	1615	1935	1278	2542	601	Thiaminase
COG0820	7204	9139	8730	9106	6699	6882	9602	7282	6769	5386	15248	8618	Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37
COG0821	7340	9642	9931	9499	6772	7561	9606	5842	6685	5519	15491	10282	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE
COG0822	5845	7181	7120	6766	5287	5629	11625	8987	8192	5568	14436	5149	NifU homolog involved in Fe-S cluster formation
COG0823	50096	61480	69551	64943	41878	46663	30000	39549	33084	28715	102273	72020	Periplasmic component of the Tol biopolymer transport system
COG0824	8181	9444	8068	8384	8432	7102	12230	9679	8888	6907	22308	9074	Acyl-CoA thioesterase FadM
COG0825	5664	7460	7849	7596	5446	5906	8218	6208	5661	4275	12404	7510	Acetyl-CoA carboxylase alpha subunit
COG0826	1325	1704	1241	1715	1535	1258	2291	1675	1842	1326	3050	1630	"Collagenase-like protease, PrtC family"
COG0827	140	57	70	120	82	89	52	65	63	65	437	18	Adenine-specific DNA methylase
COG0828	1431	1910	2055	1812	1662	1846	2699	2246	2238	1680	4455	1475	Ribosomal protein S21
COG0829	1238	1825	1683	1716	1433	1190	1979	1163	729	789	2135	971	Urease accessory protein UreH
COG0830	1436	2282	1972	2043	1633	1303	1934	1178	856	985	2591	1317	Urease accessory protein UreF
COG0831	1242	1845	1526	1589	1431	1197	2060	1130	827	844	2426	1418	Urease gamma subunit
COG0832	1370	1835	1660	1628	1395	1144	2381	1147	711	778	2493	1362	Urease beta subunit
COG0833	7607	8401	9385	9130	4804	5581	10193	4034	4697	3439	9939	7270	Amino acid permease
COG0834	8575	10175	8952	8806	9366	9931	9177	9478	6372	7765	22085	10872	"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
COG0835	7348	6725	5830	6524	5328	5317	5089	7214	4260	5404	12688	2848	Chemotaxis signal transduction protein
COG0836	5699	6983	7082	8525	5300	5464	6079	6154	4986	4599	12954	4422	Mannose-1-phosphate guanylyltransferase
COG0837	3467	3878	4019	4269	3196	2878	3651	3242	2323	2831	5807	2636	Glucokinase
COG0838	5484	6537	6012	6337	5349	5010	10003	6991	7253	5996	14682	6012	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
COG0839	5747	6584	6163	6429	5363	5251	9994	7236	7284	5777	15339	5609	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
COG0840	16368	15965	13894	16256	13936	14271	17155	14941	10476	10380	31911	7918	Methyl-accepting chemotaxis protein
COG0841	99225	169829	166006	181434	116380	126499	114934	79988	67768	60837	157063	130166	Multidrug efflux pump subunit AcrB
COG0842	13523	13674	10315	11453	12080	10020	36594	16134	21089	13916	37411	7744	"ABC-type multidrug transport system, permease component"
COG0843	24560	31682	31404	30369	23284	23751	44601	19444	26659	20378	54162	27436	"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
COG0845	26752	34188	31394	35477	28881	25735	31160	40534	23694	26749	58161	18001	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0846	4694	4906	4704	4445	4188	3825	7379	4750	4510	4364	13585	4554	"NAD-dependent protein deacetylase, SIR2 family"
COG0847	3206	2744	2272	2642	2417	2377	3282	1878	1453	2422	5183	1931	"DNA polymerase III, epsilon subunit or related 3'-5' exonuclease"
COG0848	10447	13590	12757	14116	11280	10554	12295	11616	8840	9273	24290	10674	Biopolymer transport protein ExbD
COG0849	6336	7320	8132	7903	5356	6354	8247	6602	5846	5296	11838	6752	Cell division ATPase FtsA
COG0850	682	863	864	1010	1056	951	1855	1232	785	1120	1473	438	Septum formation inhibitor MinC
